Init Ekstra TV
-----
Sausis
-----
2025-01-01 - Trečiadienis
08:00 Ciklas „Šeimos skonių istorija“ (1-6) 
10:45 Šventinių klipų programa
12:45 Komedija „Bilas ir Tedas gelbėja visatą“. Bill and Ted Face the Music. N-7. 1 val. 30‘
14:15 Komedija „Barb ir Star keliauja prie jūros“. Barb and Star go to Vista del Mar. N-7. 1 val. 45‘
16:30 Šventinių klipų programa
17:15 Koncertas „Skambantys perlai“ 2020 m.
18:00 Koncertuoja E. ir R. Kučinskai 2019 m.
19:05 Koncertas „Populiariausios Ovidijaus Vyšniausko dainos“ 2018 m.
20:00 „Seku tau pasaką“ (18)
20:30 Veiksmo komedija „Apgaulės meistrai 2“. Now You See Me 2. N-7. 2 val. 10'
22:40 Biografinė drama „Skandalas“. Bombshell. N-14. 1 val. 45'

2025-01-02 - Ketvirtadienis
00:25 Programos pabaiga
08:00 Laidų ciklas „Nenukirsta istorija“ (1-3) 2022 m. (k)
09:30 Laidų ciklas Vilniaus Babilonas (1) 2021 m. (k)
10:00 Prof. D. Sekmokienės patarimai.
10:30 ID FASHION retransliacija 
13:00 1+1 retransliacija (originalo kalba)
18:00 Laida „Žvejo kelias su Ričardu“ (14) 2023 m. (k)
19:00 TV Europa. „Vyrų šešėlyje“ (99) (k)
19:30 Prof. D. Sekmokienės patarimai
20:00 „Seku tau pasaką“ (18)
20:30 TV Europa laidų ciklas „Pasirinkę Lietuvą“ (1) 2023 m. (k)
21:00 Žinios
21:20 Aktualijų laida „Nota bene“. 2024 m.
22:00 Trileris „Svetimšalis“.The Foreigner. N-14. 1 val. 50‘
23:50 Žinios

2025-01-03 - Penktadienis
00:10 Veiksmo komedija „Apgaulės meistrai 2“. Now You See Me 2. N-7. 2 val. 10'
02:20 Žinios
02:40 Programos pabaiga
08:00 Žinios
08:20 TV ciklas „Tik tai, kas tikra“. 2024 m.(k)
09:00 TV Europa laidų ciklas „Pasirinkę Lietuvą“ (1) 2023 m. (k)
09:30 Laida „Žvejo kelias su Ričardu“ (14) 2023 m. (k)
10:00 Prof. D. Sekmokienės patarimai.
10:30 TV muzikinė laida „ATM postas“ (24) (k)
11:00 TV Europa. „Vyrų šešėlyje“ (99) (k)
11:30 ID FASHION retransliacija 
13:00 1+1 retransliacija (originalo kalba)
18:00 TV regionai. „Labas iš Kelmės“
18:30 Aktualijų laida „Nota bene“. 2024 m.
19:00 Laidų ciklas „Prie baro“. (S2E4) 2024 m. (k)
19:30 „Žurnalistų namai“ 2024 m.
20:30 „Seku tau pasaką“ (18)
21:00 Žinios
21:20 Laidų ciklas „Išgirsk mano istoriją. Ties riba“. (1) 2023 m. (k)
22:00 Veiksmo filmas „Nerve: drąsos žaidimas“. Nerve. N-7. 1 val. 35‘
23:35 Žinios
23:55 Trileris „Svetimšalis“.The Foreigner. N-14. 1 val. 50‘
01:45 Žinios
02:05 Programos pabaiga

2025-01-04 - Šeštadienis
08:00 Žinios
08:20 Laidų ciklas Vilniaus Babilonas (1) 2021 m. (k)
08:50 TV regionai. „Labas iš Kelmės“
09:20 Aktualijų laida „Nota bene“. 2024 m.
09:50 Laida „Žvejo kelias su Ričardu“ (14) 2023 m. (k)
10:20 Ciklas „Šeimos skonių istorija“ (1) (k)
10:50 Laida „Sodininko pasaulis“ (14) 2024 m.
11:20 ID FASHION retransliacija (originalo kalba)
13:00 1+1 retransliacija (originalo kalba)
15:00 Nostra.lt-RKL lygos tiesioginė transliacija.
17:00 Tautosakos vartai
18:00 TV Europa laidų ciklas „Pasirinkę Lietuvą“ (2) 2023 m. (k)
18:30 TV muzikinė laida „ATM postas“ (24) (k)
19:00 Prof. D. Sekmokienės patarimai 
