TV3                                                     
2002-01-01 - Antradienis   
MISSING DATES/needs to be filled in 2002-06-12

2002-03-11 - Pirmadienis
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 91 s. (k.)  Serialas
08.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 119 s. (k.)	Serialas
09.25 	Apsvaigę iš meilės (Locura De Amor). Meksika. 2000. Drama. 38 s. (k.)  Serialas
10.15 	ZTV. Muzikos - informacinė laida. (k.)  Laida
10.45 	Žiedė (Blossom). JAV. 1991. Komedija. 55 s.	Serialas
11.10 	Moterų laimė. Žurnalas. (k.)  Laida
11.40 	Farai. Dokumentinė drama. (k.) 	Laida
12.05 	Gillette pasaulio sporto apžvalga. (k.) 	Sportas
12.25 	Roberto receptai. Kulinarinė laida. Laidos vedėjas Robertas Ščesnavičius. (k.)  Laida
12.50 	Žemės pakraštys (Land's End). JAV. 1995. Nuotykių drama. 21 s.  Serialas
13.35 	Žiedė (Blossom). JAV. 1991. Komedija. 53 s. (k.)	Serialas
13.59 	Rinkis 3. Loterija.  Žaidimas
14.00 	Žvaigždžių vartai (Stargate SG - I ). JAV. 1999. Fantastinis serialas. II dalis. 16 s.  Serialas
14.45 	ZTV. Muzikos - informacinė laida. Laidos vedėjas Martynas Starkus.	Laida
15.15 	Kempiniukas  (SpongeBob SquarePants). JAV. 1999. Animacinė nuotykių komedija. 2 s. (k.)  Vaikams
15.45 	Apsvaigę iš meilės (Locura De Amor). Meksika. 2000. Drama. 40 s.	Serialas
16.40 	Virginija (La Intrusa). Meksika. 2001. Drama. 101 s.  Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.  Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 102 s.	Serialas
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas.  Sportas
19.10 	Orai. 	
19.10 	Be tabu. Infošou. Laidos vedėjos Ramunė Pečiulienė ir Greta Šapkaitė. Laida
19.44 	Rinkis 3. Loterija.  Žaidimas
19.45 	Procesas. X sektorius. Publicistinė laida. 	Laida
20.20 	Puma (Der Puma - Kämpfer mit Herz ). Vokietija. 2000. Veiksmo serialas. 7 s.  Serialas
21.15 	Bukiausi Amerikos nusikaltėliai (America's Dumbest Criminals). JAV. Humoristinis serialas.  Serialas
21.35 	UEFA Čempionų lygos rungtynės.  Manchester United FC - FC Bayern München. Tiesioginė transliacija iš Anglijos. Pertraukoje - TV3 žinios.  Sportas
23.35 	Šapro šou. Humoro laida. (k.)  Laida
24.00 	Poltergeistas - Legatas (Poltergeist: The Legacy). JAV. 1996. Mistinė drama. 20 s. (N-14).  Serialas
24.45 	Pabaiga. 	

2002-03-14 - Ketvirtadienis
06.55 	Programa. 	
07.00 	Betmenas (Batman). JAV. Nuotykių filmas. III dalis. 24 s. (k.)  Vaikams
07.25 	Be tabu. Infošou. (k.)  Laida
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 92 s. (k.)	Serialas
08.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 120 s. (k.)  Serialas
09.25 	Apsvaigę iš meilės (Locura De Amor). Meksika. 2000. Drama. 39 s. (k.)	Serialas
10.15 	ZTV. Muzikos - informacinė laida. (k.)	Laida
10.45 	Žiedė (Blossom). JAV. 1991. Komedija. 56 s.	Serialas
11.10 	Šapro šou. Humoro laida. (k.)	Laida
11.40 	VRS kamera. Humoro laida. (k.)  Laida
12.05 	Karalius Hilas (King of the Hill). Animacinė komedija. II dalis. 3 s. (k.)	Vaikams
12.25 	Iššūkis pergalei. (Victory Challenge). Laida apie buriavimą. (k.)	Sportas
12.50 	Modelių agentūra (Models Inc.). JAV. 1994. Drama. 1 s.	Serialas
13.35 	Žiedė (Blossom). JAV. 1991. Komedija. 54 s. (k.) Serialas
13.59 	Rinkis 3.  Žaidimas
14.00 	Loterija. 	
14.00 	Žvaigždžių vartai (Stargate SG - I ). JAV. 1999. Fantastinis serialas. II dalis. 17 s.  Serialas
14.45 	ZTV. Muzikos - informacinė laida. Laidos vedėjas Martynas Starkus.	Laida
15.15 	Betmenas (Batman). JAV. Nuotykių filmas. III dalis. 24 s. (k.)  Vaikams
15.45 	Apsvaigę iš meilės (Locura De Amor). Meksika. 2000. Drama. 41 s.	Serialas
16.40 	Virginija (La Intrusa). Meksika. 2001. Drama. 103 s. 	Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.  Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 104 s.	Serialas
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas.  Sportas
19.10 	Orai. 	
19.10 	Be tabu. Infošou. Laidos vedėjos Ramunė Pečiulienė ir Greta Šapkaitė.	Laida
19.44 	Rinkis 3. Loterija.	Žaidimas
19.45 	Tegyvuoja karalius. Humoro laida. Laidos vedėjas Raimondas Šilanskas.	Laida
20.20 	Ryškios didmiesčio šviesos (Bright Lights, Big City). JAV. 1988. Drama. Rež. James Bridges. Vaidina Michael J. Fox, Pheobe Cates, Kiefer Sutherland. (N-14)  Filmas
22.15 	TV3 žinios. (Pertraukoje)  Laida
22.40 	Tigras darbe (Tiger On A beat). Honkongas. 1988. Kovinis filmas. Rež. Chia-Liang Liu. Vaidina Yun-Fat Chow, Nina Li Chi, Conan Lee. (N-14)  Filmas
24.25 	Farai. Dokumentinė drama. (k.)	Laida
24.50 	Poltergeistas - Legatas (Poltergeist: The Legacy). JAV. 1996. Mistinė drama. 21 s. (N-14).  Serialas
