TELE-3                           
1995-01-01 - Sekmadienis
9.00 Animacinis filmas „Gražuolė ir pabaisa“.
10.10 Senojo kapitono kajutėje.
10.30 Langas j gamtą.
10.45 Vaidybinis filmas „Robotų karai“.
12.15 TV serialas „Gražuolė“.
13.00 Muzika.
13.30 POP TV.
14.00 Įdomūs žmonės.
15.00 Kelionių žurnalas.
16.00 „Aladinas ir kitos pasakos“.
17.00 Deutsche Welle.
18.00 „Westgate II“.
19.00 Žinios.
19.20 Anonsai, muzika.
19.30 Gineso šou.
20.00 Naujienos. Nuomonės.
20.30 Animacinis filmas.
21.00 Europa šou.
21.30 „Gatvės kariai“.
23.15 Muzika.

1995-01-02 - Pirmadienis
7.30 Žinios.
8.00 Animacinis f.
8.30 „Santa Barbara“.
9.30 „Maištininkas“.
10.30 Vaid. filmas „Gatvės kariai“.
12.15 Anglų k. pamokėlė.
12.20 Vaid. filmas „Gražuolė“.
13.10 Muzika.
15.00 Kelionių žurnalas.
16.30 POP TV.
17.00 Vaid. filmas „Sitara“. 1 d.
18.30 Animacinis f.
19.00 Žinios (Vesti).
19.20 Anonsai, muzika.
19.30 „Santa Barbara“.
20.30 Animacinis f.
21.00 Žinios.
21.15 Anonsai, muzika.
21.30 Vaid. filmas.
23.05 Žinios.
23.20 Muzika.

1995-01-03 - Antradienis
7.30 Žinios.
8.00 Animacinis filmas.
8.30 TV serialas „Santa Barbara“.
9.30 TV serialas „Okavango“.
10.30 Vaidybinis filmas.
12.05 Anglų kalbos pamokėlė.
12.10 Vaidybinis filmas „Sitara“, 1 dalis.
13.15 Muzika.
15.00 Kelionių žurnalas.
16.00 Pasaulio futbolo taurė. 4 dalis.
16.30 Muzika.
17.00 Vaidybinis filmas „Sitara“, 2 dalis.
18.30 Animacinis filmas.
18.55 Anglų kalbos pamokėlė.
19.00 RTR žinios (Vesti).
19.20 Anonsai, muzika.
19.30 TV serialas „Santa Barbara“.
20.30 Animacinis filmas.
21.00 Žinios.
21.15 Anonsai, muzika.
21.30 Vaidybinis filmas „Gimė žvaigždė“.
23.20 Žinios.
23.35 Muzika.

1995-01-04 - Trečiadienis
7.30 Žinios.
8.00 Animacinis filmas.
8.30 TV serialas „Santa Barbara“ (k.).
9.30 TV serialas „Westgate II“. 8 d.
10.30 Vaidybinis filmas „Gimė žvaigždė“ (k.).
12.20 Anglų kalbos pamokėlė.
12.25 Vaidybinis filmas „Sitara“, 2 dalies kartojimas.
13.30 Muzika.
15.00 Kelionių žurnalas.
16.00 Deutsche Welle.
17.00 Vaidybinis filmas „Geležinė kaukė“.
18.30 Animacinis filmas.
18.55 Anglų kalbos pamokėlė.
19.00 RTR žinios (Vesti).
19.20 Anonsai, muzika.
19.30 TV serialas „Santa Barbara“.
20.30 Animacinis filmas.
21.00 Žinios.
21.15 Muzika.
21.30 Vaidybinis filmas „Ledi X skyrybos“.
23.00 Žinios.
23.15 Muzika.

1995-01-05 - Ketvirtadienis
7.30 Žinios.
8.00 Animacinis filmas.
8.30 TV serialas „Santa Barbara“ (k.).
9.30 Viskas dėl juoko. 17 d.
10.00 Europa šou.
10.30 Vaidybinis filmas „Ledi X skyrybos“ (k.).
12.00 Anglų kalbos pamokėlė.
12.05 Vaidybinis filmas „Geležinė kaukė“.
13.20 Muzika.
15.00 Kelionių žurnalas.
17.00 Vaidybinis filmas „Aukso veršis“. 1 dalis.
18.30 Animacinis filmas.
18.55 Anglų kalbos pamokėlė.
19.00 RTR žinios (Vesti).
19.20 Anonsai, muzika.
19.30 TV serialas „Santa Barbara“.
20.30 Animacinis filmas.
21.00 Žinios.
21.15 Muzika.
21.30 Vaidybinis filmas „Tarfu nuotykiai“.
23.15 Žinios.
23.30 Muzika.

1995-01-06 - Penktadienis
7.30 Žinios.
8.00 Animacinis filmas.
8.30 TV serialas „Santa Barbara“ (k.).
9.30 Gineso šou. 17 d.
10.00 Muzika.
10.30 Vaidybinis filmas „Tarfu nuotykiai“ (k.).
12.15 Anglų kalbos pamokėlė.
12.20 Vaidybinis filmas „Aukso veršis“. 1 dalis.
13.30 Muzika.
15.00 Kelionių žurnalas.
16.30 Vokiečių kalbos pamokėlė.
16.45 Langas į gamtą.
17.00 Vaidybinis filmas „Aukso veršis“. 2 dalis.
18.30 Animacinis filmas.
18.55 Anglų kalbos pamokėlė.
19.00 RTR žinios (Vesti).
19.20 Anonsai, muzika.
19.30 TV serialas „Santa Barbara“.
20.30 Animacinis filmas.
21.00 Žinios.
21.15 Muzika.
21.30 Vaidybinis filmas „Kamuolinis žaibas puola“.
23.05 Žinios.
23.20 Muzika.

1995-01-07 - Šeštadienis
9.00 Animaciniai filmai.
10.30 Vaidybinis filmas „Kamuolinis žaibas puola“ (k.).
12.05 TV serialas „Gražuolė“.
12.55 Vaidybinis filmas „Aukso veršis“. 2 d.
13.30 Muzika.
14.00 Kelionių žurnalas.
16.00 VIVA Charts.
17.00 Pasaulio futbolo taurė. 5 dalis.
17.30 Viskas dėl juoko. 18 d.
18.00 TV serialas „Okavango“. 12 d.
19.00 RTR žinios (Vesti).
19.20 Anonsai.
19.30 TV serialas „Maištininkas“.
20.30 Animacinis filmas.
21.00 Žinios.
21.15 Anonsai, muzika.
21.30 Vaidybinis filmas „Po dvylikamyliu rifu“.
23.15 Žinios.
23.30 Muzika.

1995-01-08 - Sekmadienis
9.00 Animaciniai filmai.
10.30 Langas į gamtą.
10.45 Vaidybinis filmas „Po dvylikamyliu rifu“ (k.).
12.30 TV serialas „Gražuolė“.
13.20 Muzika.
13.30 POP TV.
14.00 Laukiniai pietūs. 1 dalis.
14.30 Įdomūs žmonės.
15.00 Kelionių žurnalas.
16.00 Dokumentinis filmas „Didieji automobiliai“.
17.00 Deutsche Welle.
18.00 TV serialas „Westgate II“. 9 d.
19.00 RTR žinios (Vesti).
19.20 Anonsai, muzika.
19.30 Gineso šou. 18 d.
20.00 Žvelkime atidžiau.
20.30 Animacinis filmas.
21.00 „Europa šou“.
21.30 Vaidybinis filmas „Naujokas Hilas“.
23.00 Muzika.
