TV3                            
2001-01-01 - Pirmadienis                    
--

2001-12-11 - Antradienis
06.55 	Programa. 	
09.25 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 57 s. (k.)  Serialas
10.15 	Žiedė (Blossom). JAV. 1991. Komedija. 9 s. (k.)  Serialas	
10.45 	Paslaptingas Aleks Mek pasaulis (Secret World of Alex Mack). JAV. 1994. Fantastinis nuotykių serialas. 29 s.  Vaikams 	
11.10 	Šapro šou. Humoro laida. (k.)  Laida 	
11.40 	VRS kamera. Humoro laida. (k.)	Laida
12.05 	Karalius Hilas (King of the Hill). Animacinė komedija. II dalis. 12 s. (k.)  Vaikams
12.25 	Iššūkis pergalei. (Victory Challenge). Buriavimo varžybos. (k.) 		Sportas
12.50 	Brangioji aš sumažinau vaikus  Serialas
13.35 	Žiedė (Blossom). JAV. 1991. Komedija. 10 s.  Serialas
14.00 	Mentai (Menty-3). Rusija. 2000. Kriminalinė komedija. III dalis. 16 s. (k.)  Serialas
14.45 	Dienos tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė.  Vaikams
14.45 	Bjaurusis ančiukas (Ugly Duckling). 1995. Animacinis filmas. 27 s.  Vaikams
15.15 	Simpsonai (The Simpsons). JAV. Animacinis filmas. IV dalis. 5 s.  Vaikams 	
15.45 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 61 s.  Serialas   	
16.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 66 s.  Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.  Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 38 s.	Serialas
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas. 	Sportas
19.10 	Orai 	
19.10 	Be tabu. Infošou. Laidos vedėjos Ramunė Pečiulienė ir Greta Šapkaitė.  Laida
19.45 	TV3 atneš šventę!. Kalėdinė akcija.	Žaidimas
19.50 	Euroliga. Laida apie krepšinį.  Sportas
20.00 	Eurolygos rungtynės. Kauno Žalgiris - Virtus Kinder Bologna. Tiesioginė transliacija iš Kauno. Pertraukoje ir po rungtynių laida apie krepšinį - Euroliga.	Sportas
22.00 	TV3 žinios.  Laida
22.10 	Poltergeistas - Legatas (Poltergeist: The Legacy). JAV. 1997. Mistinė drama. II dalis. 7 s. (N-14).  Serialas
23.00 	Farai. Dokumentinė drama. (k.)  Laida
23.25 	Pabaiga
	
2001-12-14 - Penktadienis
06.55 	Programa. 	
07.00 	Betmenas (Batman). JAV. Nuotykių filmas. II dalis. 57 s. (k.)  Vaikams
07.25 	Be tabu. Infošou. (k.)  Laida
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 36 s. (k.)  Serialas
08.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 63 s. (k.)  Serialas
09.25 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 58 s. (k.)  Serialas
10.15 	Žiedė (Blossom). JAV. 1991. Komedija. 10 s. (k.)  Serialas
10.45 	Paslaptingas Aleks Mek pasaulis (Secret World of Alex Mack). JAV. 1994. Fantastinis nuotykių serialas. 30 s.  Vaikams
11.10 	Lietuvos ryto televizija. (k.)  Laida
12.00 	Varžovės (Popular). JAV. 1999. Serialas jaunimui. 13 s. (k.)	Serialas
12.50 	Žiedė (Blossom). JAV. 1991. Komedija. 11 s.	Serialas
13.15 	Kalėdų Senelis laiku (In the Nick of Time). JAV. 1991. Nuotykių filmas. Rež. George Miller. Vaidina Lloyd Bridges, Michael Tucker, Alisob La Placa.  Filmas
14.45 	Dienos tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė.  Vaikams	
14.45 	Bjaurusis ančiukas (Ugly Duckling). 1995. Animacinis filmas. 28 s.  Vaikams
