Info TV
-----
Sausis
-----
2025-01-01 - Trečiadienis
0.00 Dabar pasaulyje. Žinios rusų kalba.
0.30 Bučiuoju. Rūta (k). N-7. Vedėja Rūta Mikelkevičiūtė.
1.30 Šeškinės 20. Giedriaus ir Džiugo šou (k). N-7.
2.25 KK2 penktadienis (k). N-7. Vedėjai. Keite Arai, Tomas Ališauskas ir Domininkas Ramonas.
3.30 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
3.55 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
4.20 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
4.45 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
5.10 Nuo.. Iki.. (k). Gyvenimo būdo žurnalas. Vedėja Giedrė Talmantienė.
6.00 Žinios.
7.00 Bus visko (k). N-7. Gyvenimo būdo laida. Vedėja Gintarė Gurevičiūtė.
8.00 „Pakrančių detektyvai“ (3) (k) (Shoreline Detectives III). 2018 m. Dokumentinis serialas.
9.00 Bučiuoju. Rūta (k). N-7. Vedėja Rūta Mikelkevičiūtė.
10.00 Šeškinės 20. Giedriaus ir Džiugo šou (k). N-7.
11.00 KK2 penktadienis (k). N-7. Vedėjai. Keite Arai, Tomas Ališauskas ir Domininkas Ramonas.
12.30 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
13.00 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
13.30 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
14.00 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
14.30 Nuo.. Iki.. (k). Gyvenimo būdo žurnalas. Vedėja Giedrė Talmantienė.
15.30 Bus visko (k). N-7. Gyvenimo būdo laida. Vedėja Gintarė Gurevičiūtė.
16.30 Bučiuoju. Rūta (k). N-7. Vedėja Rūta Mikelkevičiūtė.
17.30 Šeškinės 20. Giedriaus ir Džiugo šou (k). N-7.
18.30 KK2 penktadienis (k). N-7. Vedėjai. Keite Arai, Tomas Ališauskas ir Domininkas Ramonas.
20.00 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
20.30 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
21.00 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
21.30 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
22.00 Bus visko (k). N-7. Gyvenimo būdo laida. Vedėja Gintarė Gurevičiūtė.
23.00 Nuo.. Iki.. (k). Gyvenimo būdo žurnalas. Vedėja Giedrė Talmantienė.

2025-01-02 - Ketvirtadienis
0.00 Dabar pasaulyje. Žinios rusų kalba.
0.30 Šeškinės 20. Giedriaus ir Džiugo šou (k). N-7.
1.30 Bučiuoju. Rūta (k). N-7. Vedėja Rūta Mikelkevičiūtė.
2.25 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
2.50 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
3.15 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
3.40 KK2 (k). N-7. Infošou. Vedėjai Keite Arai ir Tomas Ališauskas.
4.05 KK2 penktadienis (k). N-7. Vedėjai. Keite Arai, Tomas Ališauskas ir Domininkas Ramonas.
5.10 Bus visko (k). N-7. Gyvenimo būdo laida. Vedėja Gintarė Gurevičiūtė.
6.00 Žinios.
7.00 Nuo.. Iki.. (k). Gyvenimo būdo žurnalas. Vedėja Giedrė Talmantienė.
