Balticum TV
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
01:40 Tiek žinių. Intelektualios satyros šou (N-7).
01:55 Programos pabaiga.
08:00 Detektyvinis serialas "Kapitonas Šerifas" (1/7) (Prancūzija, 2013 m.) (N-7).
09:00 Švenčių ciklas: Naujieji metai. Laida.
10:00 Fantastinis nuotykių filmas "DGM: Didysis Gerulis Milžinas" (JAV, Indija, D.Britanija, 2016 m.).
12:10 Laikykitės ten svečias SLAVKA. Intelektualios satyros šou (N-7).
13:15 Melodrama "Mergaičių Kalėdos" (Kanada, 2018 m.).
14:55 Nuotykių komedija "Asteriksas ir Obeliksas: Drakonų imperija" (Prancūzija, Belgija, JAV, 2023 m.). 
16:55 Romantinė drama "Kalėdų sniego gniūžtė" (Kanada, 2021 m.).
18:35 Tiek žinių. Intelektualios satyros šou (N-7).
18:50 Vyriausioji Lietuvos komisija. Metų apžvalga. Diskusijų laida.
20:00 Detektyvinis serialas "Kapitonas Šerifas" (1/8) (Prancūzija, 2013 m.) (N-7).
21:00 Šventinis filmas. "Mija ir baltasis liūtas" (Prancūzija, Pietų Afrika, JAV, 2018 m.).
22:50 Tiek žinių. Intelektualios satyros šou (N-7).
23:05 Komiškas detektyvas "Ištraukti peiliai" (JAV, 2019 m.) (N-14).

2026-01-02 - Penktadienis
01:25 Programos pabaiga.
08:00 Detektyvinis serialas "Kapitonas Šerifas" (1/8) (Prancūzija, 2013 m.) (N-7).
09:00 Romantinis draminis serialas "Šeimininkas" (4) (Ukraina, 2022 m.) (N-7).
10:00 Vyriausioji Lietuvos komisija. Metų apžvalga. Diskusijų laida.
11:10 Tiek žinių. Intelektualios satyros šou (N-7).
11:25 Komiškas draminis serialas "Kelias namo" (3) (Ukraina, 2024 m.) (N-7).
12:25 Komiškas draminis serialas "Kelias namo" (4) (Ukraina, 2024 m.) (N-7).
13:25 Tiek žinių. Intelektualios satyros šou (N-7).
13:40 Romantinė drama "Kalėdos Glenbruke" (Kanada, 2020 m.).
15:20 Gimę po laiminga žvaigžde. Pokalbių laida (15).
15:50 Kaip padėti sau. Laida apie emocinę visuomenės sveikatą (2/6).
16:20 Laikykitės ten svečias SLAVKA. Intelektualios satyros šou (N-7).
17:30 Humoro serialas "Didieji Vuikai" (2/13) (Ukraina, 2020 m.) (N-7).
18:00 Humoro serialas "Didieji Vuikai" (2/14) (Ukraina, 2020 m.) (N-7).
18:30 Alfa taškas. Aktualijų laida su Aurelijumi Bezekavičiumi (01.02/1).
19:00 Laikykitės ten Top. 10 metų. Intelektualios satyros šou (N-7).
19:30 Alfa taškas. Aktualijų laida su Aurelijumi Bezekavičiumi (01.02/2).
20:00 Detektyvinis serialas "Dronas" (43) (Ukraina, 2025 m.) (N-7).
21:00 Romantinė komedija "Neįkainojama meilė" (Kanada, 2022 m.).
22:40 Laikykitės ten Top. 10 metų. Intelektualios satyros šou (N-7).
23:05 Siaubo trileris "Antebellum: išrinktoji" (JAV, 2020 m.) (S).

2026-01-03 - Šeštadienis
01:05 Programos pabaiga.
08:00 Romantinis draminis serialas "Šeimininkas" (4) (Ukraina, 2022 m.) (N-7).
09:00 Alfa taškas. Aktualijų laida su Aurelijumi Bezekavičiumi (01.02/1).
09:30 100 metų propagandos. Dokumentinė laida (2/5).
10:00 Vyrų šešėlyje. Dokumentinė apybraiža (2/3).
10:30 Ofiso dramos. Pažintinė laida su Paulina Botyriūte (2/25).
11:00 Laikykitės ten Top. 10 metų. Intelektualios satyros šou (N-7).
11:30 Romantinė komedija "Kalėdos kaip iš atvirutės" (Kanada, 2019 m.).
13:10 Humoro serialas "Didieji Vuikai" (2/13) (Ukraina, 2020 m.) (N-7).
