-----
Sausis
-----
-----
2011-02-01 - Antradienis

2011-02-02 - Trečiadienis

2011-02-03 - Ketvirtadienis

2011-02-04 - Penktadienis

2011-02-05 - Šeštadienis

2011-02-06 - Sekmadienis

2011-02-07 - Pirmadienis

2011-02-08 - Antradienis

2011-02-09 - Trečiadienis

2011-02-10 - Ketvirtadienis

2011-02-11 - Penktadienis

2011-02-12 - Šeštadienis

2011-02-13 - Sekmadienis

2011-02-14 - Pirmadienis
3.20 Myliu tave, Paryžiau. Prancūzija/Lichtenšteinas, kino novelės, 2006.
5.00 Tiesiog kartu. Prancūzija, drama, 2007.
7.00 Šešios mano tėvo žmonos. JAV, komedija, 2009.
9.00 Ji ir jos vyrai. JAV. 2005. Romantinė drama.
11.00 Maištingoji Džeinė. D.Britanija, biografinė drama, 2007.
13.00 Širdžių ėdikės. JAV, kriminalinė komedija, 2001.
15.10 Sensacija. D.Britanija/JAV, komedija, 2006.
17.00 Kiekvieną mielą dieną. JAV, komiška drama, 2010.
19.00 Dvi dienos Paryžiuje. Prancūzija/Vokietija, komiška drama, 2007.
21.00 Myliu tave, Paryžiau. Prancūzija/Lichtenšteinas, kino novelės, 2006.
23.10 Anapus vartų. D.Britanija/Vokietija, istorinė drama, 2005.
1.00 Varguolis Žaku. Prancūzija, istorinė drama, 2007.

2011-02-15 - Antradienis
3.30 Medkirtys. JAV, drama, 2004.
5.00 Dvi dienos Paryžiuje. Prancūzija/Vokietija, komiška drama, 2007.
7.00 Širdžių ėdikės. JAV, kriminalinė komedija, 2001.
9.10 Sensacija. D.Britanija/JAV, komedija, 2006.
11.00 Kiekvieną mielą dieną. JAV, komiška drama, 2010.
13.00 Mirtis per laidotuves. JAV/D.Britanija, komiška drama, 2007.
15.00 O – Otelas. JAV, drama, 2001.
17.00 Amerikietiškas nusikaltimas. JAV, trileris, 2004.
19.00 Elė Parker. JAV, komedija, 2005.
21.00 Medkirtys. JAV, drama, 2004.
22.35 Varguolis Žaku. Prancūzija, istorinė drama, 2007.
1.10 Gauja. JAV, kriminalinė komedija, 2000.

2011-02-16 - Trečiadienis
3.00 Pusryčiai Plutone. Airija/D.Britanija, komiška drama, 2005.
5.10 Elė Parker. JAV, komedija, 2005.
7.00 Mirtis per laidotuves. JAV/D.Britanija, komiška drama, 2007.
9.00 O – Otelas. JAV, drama, 2001.
11.00 Amerikietiškas nusikaltimas. JAV, trileris, 2004.
13.00 Vaikinai ir merginos. JAV, romantinė komedija, 2000.
15.00 Auksinis jaunimas. D.Britanija, komiška drama, 2003.
17.00 Žudantis grožis. JAV, komedija, 1999.
19.00 Seselė Betė. JAV, drama/komedija, 2000.
21.00 Pusryčiai Plutone. Airija/D.Britanija, komiška drama, 2005.
23.15 Gauja. JAV, kriminalinė komedija, 2000.
1.15 Kendė. Australija, drama, 2006.

2011-02-17 - Ketvirtadienis
3.00 Stefani Dali. JAV, drama, 2006.
5.00 Seselė Betė. JAV, drama/komedija, 2000.
7.00 Vaikinai ir merginos. JAV, romantinė komedija, 2000.
9.00 Auksinis jaunimas. D.Britanija, komiška drama, 2003.
11.00 Žudantis grožis. JAV, komedija, 1999.
13.00 Dekameronas. skaistuolių teritorija. D.Britanija/Italija, romantinė komedija/drama, 2007.
15.00 Įsivaizduok, kad esame kartu. JAV/D.Britanija, romantinė komedija, 2005.
17.00 Ties riba. Airija, drama, 2001.
19.00 P.S. JAV, romantinė drama, 2004.
21.00 Stefani Dali. JAV, drama, 2006.
23.00 Kendė. Australija, drama, 2006.
0.50 Lemingas. Prancūzija, trileris, 2005.

2011-02-18 - Penktadienis
3.00 Mirtini varžovai. JAV, trileris, 1993.
5.00 P.S. JAV, romantinė drama, 2004.
7.00 Dekameronas. skaistuolių teritorija. D.Britanija/Italija, romantinė komedija/drama, 2007.
9.00 Įsivaizduok, kad esame kartu. JAV/D.Britanija, romantinė komedija, 2005.
11.00 Ties riba. Airija, drama, 2001.
13.00 Atsragiai! Durys užsidaro. D.Britanija/JAV, romantinė komedija, 1998.
15.00 Auksinis jaunimas. D.Britanija, komiška drama, 2003.
17.00 Protingi žmonės. JAV, komedija, 2008 .
19.00 Velniški žaidimai. JAV/D.Britanija, kriminalinė drama, 2007.
21.00 Vidaus imperija. Prancūzija/JAV/Lenkija, mistinė drama, 2006.
0.00 Lemingas. Prancūzija, trileris, 2005.

2011-02-19 - Šeštadienis
3.00 Žiaurus gailestingumas. JAV, drama, 2007.
5.00 Velniški žaidimai. JAV/D.Britanija, kriminalinė drama, 2007.
7.00 Atsragiai! Durys užsidaro. D.Britanija/JAV, romantinė komedija, 1998.
9.00 Štai ir visas reikalas. JAV, romantinė komedija, 2001.
11.00 Protingi žmonės. JAV, komedija, 2008.
13.00 Giminės – ne giminės. JAV, komedija, 2006.
15.00 Malonėkite atsukti. JAV, komedija, 2008.
17.00 Seksas, narkotikai ir rokenrolas. D.Britanija, biografinė drama, 2010.
19.00 Kitas vyras. JAV/D.Britanija, drama, 2008.
21.00 Žiaurus gailestingumas. JAV, drama, 2007.
23.00 Kelios dienos rugsėjį. Prancūzija/Italija, dramatiškas trileris, 2006.
1.00 Nekišk nosies, kur nereikia. JAV, drama, 2005.

2011-02-20 - Sekmadienis
3.00 Karo žaidimai. JAV, komedija, 2008.
5.00 Kitas vyras. JAV/D.Britanija, drama, 2008.
7.00 Giminės – ne giminės. JAV, komedija, 2006.
9.00 Malonėkite atsukti. JAV, komedija, 2008.
11.00 Seksas, narkotikai ir rokenrolas. D.Britanija, biografinė drama, 2010.
13.00 Dainininkas. JAV, drama/miuziklas, 2006.
15.00 Ką gali pasakyti vien pasižiūrėjęs į ją. JAV, drama, 2000.
17.00 Asmeniniai Pipos Li gyvenimai. JAV, drama, 2009.
19.00 Mano mamos meilužis. JAV/Vokietija, komedija, 2008.
21.00 Karo žaidimai. JAV, komedija, 2008.
23.00 Nekišk nosies, kur nereikia. JAV, drama, 2005.
1.00 Šiurpai. D.Britanija/Vokietija, siaubo trileris, 2004.
2.59 Programos pabaiga.

2011-02-21 - Pirmadienis

2011-02-22 - Antradienis

2011-02-23 - Trečiadienis

2011-02-24 - Ketvirtadienis

2011-02-25 - Penktadienis

2011-02-26 - Šeštadienis

2011-02-27 - Sekmadienis

2011-02-28 - Pirmadienis

-----
Kovas
-----
2011-03-01 - Antradienis

2011-03-02 - Trečiadienis

2011-03-03 - Ketvirtadienis

2011-03-04 - Penktadienis

2011-03-05 - Šeštadienis

2011-03-06 - Sekmadienis

2011-03-07 - Pirmadienis

2011-03-08 - Antradienis

2011-03-09 - Trečiadienis

2011-03-10 - Ketvirtadienis

2011-03-11 - Penktadienis

2011-03-12 - Šeštadienis

2011-03-13 - Sekmadienis

2011-03-14 - Pirmadienis

2011-03-15 - Antradienis

2011-03-16 - Trečiadienis

2011-03-17 - Ketvirtadienis

2011-03-18 - Penktadienis

2011-03-19 - Šeštadienis

2011-03-20 - Sekmadienis

2011-03-21 - Pirmadienis

2011-03-22 - Antradienis

2011-03-23 - Trečiadienis

2011-03-24 - Ketvirtadienis

2011-03-25 - Penktadienis

2011-03-26 - Šeštadienis

2011-03-27 - Sekmadienis

2011-03-28 - Pirmadienis

2011-03-29 - Antradienis

2011-03-30 - Trečiadienis

2011-03-31 - Ketvirtadienis

-----
Balandis
-----
2011-04-01 - Penktadienis

2011-04-02 - Šeštadienis

2011-04-03 - Sekmadienis

2011-04-04 - Pirmadienis

2011-04-05 - Antradienis

2011-04-06 - Trečiadienis

2011-04-07 - Ketvirtadienis

2011-04-08 - Penktadienis

2011-04-09 - Šeštadienis

2011-04-10 - Sekmadienis

2011-04-11 - Pirmadienis
3.00 Sodai rudenį. Prancūzija, komedija, 2006.
5.10 Gelbėkit mus nuo Evos. JAV, komedija, 2003.
7.10 Varguolis Žaku. Prancūzija, istorinė drama, 2007.
9.50 Asistentė. Prancūzija, drama, 2006.
11.30 Mano mamos meilužis. JAV/Vokietija, komedija, 2008.
13.20 Šeimos galva. D. Britanija, drama, 2006.
15.10 Aš – Rydas Fišas. JAV, komiška drama, 2006.
16.50 Širdžių ėdikės. JAV, kriminalinė komedija, 2001.
19.00 Milžiniškos staigmenos. JAV, romantinė komedija, 2008.
21.00 Tiesiog kartu. Prancūzija, drama, 2007.
23.00 Naktinė audra. Japonija, animacinis/nuotykių, 2005.
1.00 Velniška meilė – Frensio Beikono portretas. D. Britanija, biografinė drama, 1998.

2011-04-12 - Antradienis
3.00 Kendė. Australija, drama, 2006.
5.00 Milžiniškos staigmenos. JAV, romantinė komedija, 2008.
7.00 Šeimos galva. D. Britanija, drama, 2006.
9.00 Aš – Rydas Fišas. JAV, komiška drama, 2006.
11.00 Širdžių ėdikės. JAV, kriminalinė komedija, 2001.
13.20 Kartą Versalyje. Prancūzija, komedija, 2009.
15.20 Tiesiai mano širdin… JAV, drama, 1998.
17.00 Ech, tos merginos… JAV, romantinė drama, 2003.
19.00 Paskutinė uždanga. JAV, drama, 2002.
21.00 Kendė. Australija, drama, 2006.
23.00 Velniška meilė – Frensio Beikono portretas. D. Britanija, biografinė drama, 1998.
0.40 Mišu iš Obero. Prancūzija, drama, 2007.

2011-04-13 - Trečiadienis
3.00 Žalias drakonas. JAV, drama, 2001.
5.00 Paskutinė uždanga. JAV, drama, 2002.
7.00 Kartą Versalyje. Prancūzija, komedija, 2009.
9.10 Tiesiai mano širdin… JAV, drama, 1998.
11.00 Ech, tos merginos… JAV, romantinė drama, 2003.
13.00 Negerk vandens! JAV, komedija, 1994.
15.00 Elė Parker. JAV, komedija, 2005.
17.00 Kompanionai. JAV, komiška drama, 2006.
19.00 Geriausias tėtis pasaulyje. JAV, komedija, 2009.
