yes,id,die,m,me,diena,val,min,endv,endm,what,pic,pav,prog
n,6,Ðeðtadienis,02,02,16,15.,25,17.,00,Filmas,136.gif,"Þmogus-kondoras"," (Condorman). Didþioji Britanija.1981. Nuotykiø komedija. Reþ. Charles Jarrott. Vaidina Michael Crawford, Oliver Reed, Barbara Carrera. <br>Áspûdinga graþuolë, buvusi Dþeimso Bondo mergina Barbara Karera ðákart vaidina Natalijà - ðnipæ ið Rusijos. Ji pamilsta komiksø kûrëjà Vudá, kuriam visai netyèia tenka atlikti slaptà CÞV uþduotá. Mat ðios tarnybos vadovas susitarë, kad operacijoje dalyvaus civilis. Taèiau Vudis pasirodë taip áspûdingai, kad CÞV skyrë jam dar vienà uþduotá. Èia jis ir vël susitiko su þaviàja Natalija…"
n,6,Ðeðtadienis,02,02,16,17.,00,18.,45,Filmas,137.gif,"Didysis drambliukës pabëgimas"," (The Great Elephant Escape). JAV. 1995. Nuotykiø filmas. Reþ. George Miller. Vaidina Stephanie Zimbalist. Joseph Gordon - Levit, Leo Burmester, Frederick M'Cormac.<BR>Metju su mama atvyksta á savo svajoniø ðalá - Afrikà. Èia susidraugauja su maþa drambliuke Ele. Brakonieriai nuþudë jos motinà, todël maþylæ priglaudë ûkininkas. Taèiau drambliukæ auginti labai sunku ir jà tenka parduoti turtingam ir þiauriam egzotiðkø gyvûnø kolekcionieriui. Metju nieku gyvu nenori atiduoti savo drauguþës, tad su masajø berniuku bei savo numylëtine iðkeliauja á savanà pasitikti daugybës nuotykiø…"
n,6,Ðeðtadienis,02,02,16,19.,40,19.,44,Filmas,138.gif,"Nepriklausomybës diena"," (Independence Day). JAV. 1996. Veiksmo filmas. Reþ. Roland Emmerich. Vaidina Will Smith, Bill Pullman, Jeff Goldblum. (T)<br>&quot;Patrioto&quot; ir &quot;Godzilos&quot; reþisieriaus Rolando Emmerich'o filmas &quot;Nepriklausomybës diena&quot; tiesiog pribloðkë kino kritikus ir þiûrovus specialiaisiais efektais. Uþ juos 1997-aisiais filmas pelnë &quot;Oskarà&quot;. Garsûs ir talentingi aktoriai Vilas Smitas (&quot;Vyrai juodais drabuþiais&quot;), Bilas Pulmanas (&quot;Kol tu miegojai&quot;), Dþefas Goldblumas (&quot;Musë&quot;, &quot;Juros periodo parkas&quot;) vaidina istorijoje apie nepaprastà Þemës gyventojams dienà. Prieð pat nacionalinæ JAV ðventæ - liepos ketvirtàjà - danguje pasirodo keisti skraidantys objektai. Juos pilotuoja ateiviai, kuriø ketinimai visai nedraugiðki. Atëjûnai ið kitos planetos yra sumanæ sunaikinti þmonijà ir uþgrobti Þemæ…"
n,6,Ðeðtadienis,02,02,16,22.,20,24.,00,Filmas,139.gif,"Riteriai"," (Knights). JAV.1993. Nuotykiø filmas. Reþ. Albert Pyun. Vaidina Kathy Long, Kris Kristofferson, Lance Henriksen. (N-14)<br>Praëjo daug ðimtmeèiø ir Þemë pasikeitë. Dabar ji - dykynë, kurià valdo kraugeriai robotai, nevykæ þmonijos kûriniai. Robotams pasiprieðinti gali tik viena naðlaitë, kurios tëvus kadaise nuþudë galingas kiborgø valdovas. Iðmokusi kovos meno, ji patraukia tiesiai á robotø stovyklà stoti á kovà uþ þmonijos laisvæ..."
n,6,Ðeðtadienis,02,02,16,24.,00,01.,40,Filmas,140.gif,"Sutemø tarnai"," (Servants of Twilight). JAV. 1990. Siaubo filmas. Reþ. Jeffrey Obrow. Vaidina Bruce Greenwood, Belinda Bauer, Grace Zabriskie, Richard Bradford, Jarrett Lennon, Jack Kehoe.(S)<br>Dþojus Skavelo - ramus ir mielas ðeðeriø metø berniukas. Taip atrodo tëvui, motinai ir daugeliui aplinkiniø. Taèiau retkarèiais nutinkanti tai vienokia, tai kitokia keistybë labai sudomina tikëjimo fanatikus. Ðie tvirtina, kad Dþojus Skavelo - paties ðëtono iðpera, ir pasiðauna já nuþudyti. Berniuko motina kreipiasi pagalbos á privatø detektyvà, ir ðis imasi gilintis á fanatikø agresijà provokuojanèius faktus..."
n,7,Sekmadienis,02,02,17,11.,50,13.,30,Filmas,141.gif,"Beþdþionëlës, namo!"," (Monkeys, Go Home!). JAV. 1967. Komedija. Reþ. Andrew V. McLaglen. Vaidina Dean Jones, Maurice Chevalier, <br>Alyvmedþiø plantacijos savininkas nustebina savo kaimynus. Savo derliui nuimti jis pasamdo ne þmones, o parsigabena visà pulkà… beþdþionëliø. Ið pradþiø sumanymas atrodo puikus - juk ðimpanziukëms nereikia mokëti uþ darbà. Taèiau netrukus paaiðkëja, kad beþdþionëlës pridaro ðeimininkui daugiau rûpesèiø nei ánoringiausi ir tingiausi darbininkai…"
n,7,Sekmadienis,02,02,17,20.,15,22.,10,Filmas,142.gif,"Savaitgalio karðtis.<br> Robinas ið Lokslio"," (Robin of Locksley). JAV. 1996. Nuotykiø filmas. Reþ. Michael Kennedy (I). Vaidina Devon Sawa, Joshua Jackson, Sarah Chalke, Tyler Labine. <br>Ðiø laikø Robino Hudo istorija. Robinas Makalisteris pradeda lankyti naujà mokyklà. Èia susitinka þavià merginà Marijon, susidraugauja su Vilu Skarletu bei maþuoju Dþonu. Visi kartu jie padeda klasës draugui susimokëti milþiniðkas sàskaitas uþ gydymà. Besistengdami padëti draugui, visi keturi áklimpsta á ne visai ðvarius reikaliukus… Ketvertà draugø pradeda sekti FTB…"

Vaikai

