-----
Sausis
-----
12.00 Žarijos miestas. JAV, fantastinis/nuotykių, 2008.
14.00 Daktaras Dolitlis 5. Lakis keliauja į Holivudą! JAV, komedija visai šeimai, 2009.
16.00 Tai sudėtinga. JAV, romantinė komedija, 2009.
18.00 Karalienės sesuo. D.Britanija/JAV, romantinė drama, 2008.
20.00 Išrinktųjų medžioklė. JAV/Kanada, fantastinis trileris, 2009.
22.00 Negarbingi šunsnukiai. JAV/Vokietija, karo trileris, 2009.
0.40 Menininkė. JAV, erotinis filmas, 2008.
2.00 Jam patinka vyresnės. JAV, erotinis filmas, 2008.
4.00 Bornas. Galutinis tikslas. JAV/Vokietija, veiksmo trileris, 2007.

2011-02-06 - Sekmadienis
6.00 Išrinktųjų medžioklė. JAV/Kanada, fantastinis trileris, 2009.
7.55 Karalienės sesuo. D.Britanija/JAV, romantinė drama, 2008.
9.40 Australija. Australija/JAV, karo melodrama, 2008.
12.20 Tai sudėtinga. JAV, romantinė komedija, 2009.
14.30 Atpirkimas. D.Britanija/Prancūzija, romantinė drama, 2007.
16.30 Atrastoji žemė. JAV, nuotykių komedija, 2009.
18.20 Naktis muziejuje 2. JAV, fantastinė komedija, 2009.
20.00 Paskutinis šansas įsimylėti. JAV, romantinė drama, 2008.
22.00 Bornas. Galutinis tikslas. JAV/Vokietija, veiksmo trileris, 2007.
0.00 Potraukis. JAV, erotinis filmas, 2007.
2.00 Menininkė. JAV, erotinis filmas, 2008.
4.00 Lemtingas posūkis 3. JAV, siaubo trileris, 2009.

2011-02-07 - Pirmadienis

2011-02-08 - Antradienis

2011-02-09 - Trečiadienis

2011-02-10 - Ketvirtadienis

2011-02-11 - Penktadienis

2011-02-12 - Šeštadienis

2011-02-13 - Sekmadienis

2011-02-14 - Pirmadienis
6.00 Sutrikusi mafija. JAV, kriminalinė komedija, 2002.
8.00 Amelija. JAV/Kanada, drama, 2009.
10.00 Viskas įskaičiuota. JAV, komedija, 2009.
12.00 Henris Pūlas yra čia. JAV, komiška drama, 2008.
14.00 Rokeris. JAV, komedija, 2008.
16.00 Mumija. drakono imperatoriaus kapas. JAV/Kinija, veiksmo/nuotykių, 2008.
18.00 Dar nebučiuota. JAV, romantinė komedija, 1999.
20.00 Atostogos. JAV, romantinė komedija, 2006.
22.10 Kerštas. JAV, veiksmo trileris, 2002.
0.00 Nuodėmių atleidimas. D.Britanija, erotinis filmas, 2009.
2.00 Heteroseksualai 3. nuodėmingos naktys. D.Britanija, erotinis filmas, 2009.
4.00 Svetimšalis. JAV/Vokietija, veiksmo/fantastinis, 2008.

2011-02-15 - Antradienis
6.00 Atostogos. JAV, romantinė komedija, 2006.
8.10 Dar nebučiuota. JAV, romantinė komedija, 1999.
10.00 Mumija. drakono imperatoriaus kapas. JAV/Kinija, veiksmo/nuotykių, 2008.
12.00 Svajonių laukas. JAV. 1989. Fantastinė drama.
14.00 Džojaus Nardono istorija. JAV, drama, 2009.
16.00 Prikelta svajonė. JAV, drama, 2009.
18.00 Įsimylėti per dvi savaites. JAV/Australija, romantinė komedija, 2002.
20.00 Velniop tą Sarą Maršal. JAV, komiška drama, 2008.
22.00 Svetimšalis. JAV/Vokietija, veiksmo/fantastinis, 2008.
0.00 Pupytės ir maniakai 2. JAV, erotinis filmas, 2008.
2.00 Nuodėmių atleidimas. D.Britanija, erotinis filmas, 2009.
4.00 Karalystė. JAV/Vokietija, veiksmo drama, 2007.

2011-02-16 - Trečiadienis
6.00 Velniop tą Sarą Maršal. JAV, komiška drama, 2008.
8.00 Įsimylėti per dvi savaites. JAV/Australija, romantinė komedija, 2002.
10.00 Prikelta svajonė. JAV, drama, 2009.
11.40 Sveikas sugrįžęs, Rosko Dženkinsai. JAV, romantinė komedija, 2008.
13.30 Nepriklausomybės diena. JAV, fantastinis trileris, 1996.
15.50 Užkibo. JAV, romantinė komedija, 2007.
18.00 Odinės galvos. JAV/Vokietija, romantinė komedija, 2008.
20.00 Australija. Australija/JAV, karo melodrama, 2008.
22.40 Karalystė. JAV/Vokietija, veiksmo drama, 2007.
0.30 Ne eteriui. JAV, erotinis filmas, 2007.
2.00 Pupytės ir maniakai 2. JAV, erotinis filmas, 2008.
4.00 Pasala. Kanada/Argentina, kriminalinis trileris, 2008.

2011-02-17 - Ketvirtadienis
6.00 Australija. Australija/JAV, karo melodrama, 2008.
8.40 Odinės galvos. JAV/Vokietija, romantinė komedija, 2008.
10.30 Užkibo. JAV, romantinė komedija, 2007.
12.40 Slaptas bičių gyvenimas. JAV, drama, 2008.
14.30 Daktaras Dolitlis 5. Lakis keliauja į Holivudą! JAV, komedija visai šeimai, 2009.
16.00 Devyni mėnesiai. JAV, romantinė komedija, 1995.
18.00 Be abejo, turbūt. D.Britanija/JAV, romantinė komedija, 2008.
20.00 500 meilės dienų. JAV, romantinė komedija, 2009.
22.00 Pasala. Kanada/Argentina, kriminalinis trileris, 2008.
0.00 Aistros karalienės. Didžioji Britanija, erotika, 2009.
2.00 Ne eteriui. JAV, erotinis filmas, 2007.
4.00 Ieškomas. JAV/Vokietija, veiksmo trileris, 2008.

2011-02-18 - Penktadienis
6.00 500 meilės dienų. JAV, romantinė komedija, 2009.
8.00 Be abejo, turbūt. D.Britanija/JAV, romantinė komedija, 2008.
10.00 Žiedų valdovas. Žiedo brolija. N.Zelandija/JAV, fantastinis/nuotykių filmas, 2001.
13.00 Žiedų valdovas. Karaliaus sugrįžimas. JAV/Naujoji Zelandija, fantastinis/veiksmo filmas, 2003.
16.20 Šokis hiphopo ritmu 2. Gatvės. JAV, romantinė drama, 2008.
18.00 Paskutinis šansas įsimylėti. JAV, romantinė drama, 2008.
20.00 Tai sudėtinga. JAV, romantinė komedija, 2009.
22.00 Ieškomas. JAV/Vokietija, veiksmo trileris, 2008.
0.00 Drėgna. JAV, erotinis filmas, 2009.
2.00 Aistros karalienės. Didžioji Britanija, erotika, 2009.
4.00 Mirties lenktynės. JAV/Vokietija, fantastinis trileris, 2008.

2011-02-19 - Šeštadienis
6.00 Tai sudėtinga. JAV, romantinė komedija, 2009.
8.00 Paskutinis šansas įsimylėti. JAV, romantinė drama, 2008.
10.00 Šokis hiphopo ritmu 2. Gatvės. JAV, romantinė drama, 2008.
12.00 Piratų nuotykiai daržovių šalyje 2. JAV, animacija/nuotykių, 2008.
14.00 Pono Byno atostogos. D.Britanija/Prancūzija, komedija, 2007.
16.00 Marlis ir aš. JAV, romantinė komedija, 2008.
18.00 Solistas. D.Britanija/JAV, drama, 2009.
20.00 Pjūklas VI. Kanada/JAV, siaubo trileris, 2009.
22.00 Mirties lenktynės. JAV/Vokietija, fantastinis trileris, 2008.
0.00 Patrauklios pupytės. Vengrija, erotinis filmas, 2009.
2.00 Drėgna. JAV, erotinis filmas, 2009.
4.00 Dženiferės kūnas. JAV, siaubo komedija, 2009.

2011-02-20 - Sekmadienis
 6.00 Frostas prieš Niksoną. JAV/D.Britanija, drama, 2008.
 8.00 Solistas. D.Britanija/JAV, drama, 2009.
10.00 Marlis ir aš. JAV, romantinė komedija, 2008.
12.00 Despero nuotykiai. D.Britanija/JAV, animacinis/nuotykių, 2008.
14.00 Drakonų kova. Evoliucija. JAV/Honkongas, fantastinis trileris, 2009.
16.00 Vyriškas auklėjimas. JAV/Vokietija, komedija, 2008.
18.00 Kad ir kas benutiktų. JAV/Prancūzija, romantinė komedija, 2009.
20.00 Melo išradėjas. JAV, romantinė komedija, 2009.
22.00 Dženiferės kūnas. JAV, siaubo komedija, 2009.
 0.00 Beprotiškai pašėlusi naktis. JAV, erotinis filmas, 2008.
 2.00 Patrauklios pupytės. Vengrija, erotinis filmas, 2009.
 4.00 Pagrobimas. Prancūzija, kriminalinis trileris, 2008.

2011-02-21 - Pirmadienis

2011-02-22 - Antradienis

2011-02-23 - Trečiadienis

2011-02-24 - Ketvirtadienis

2011-02-25 - Penktadienis

2011-02-26 - Šeštadienis

2011-02-27 - Sekmadienis

2011-02-28 - Pirmadienis

-----
Kovas
-----
2011-03-01 - Antradienis

2011-03-02 - Trečiadienis

2011-03-03 - Ketvirtadienis

2011-03-04 - Penktadienis

2011-03-05 - Šeštadienis

2011-03-06 - Sekmadienis

2011-03-07 - Pirmadienis
06.00 Aušros kariai. Australija/JAV, siaubo trileris, 2009.
07.40 Įsikūnijimas. JAV/D.Britanija, Oskarais apdovanotas fantastinis/nuotykių filmas, 2009.
10.30 Velniop tą Sarą Maršal. JAV, komiška drama, 2008.
