Delfi TV
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
00:00 Jessica Shy koncertas
00:30 Jazzu koncertas
01:00 Monikos Linkytės koncertas
01:30 Manto Jankavičiaus koncertas
02:00 Vaido Baumilos koncertas
02:30 Monique koncertas
03:00 Vido Bareikio koncertas
03:30 Ievos Zasimauskaitės koncertas
04:00 Baltos varnos koncertas
04:30 Saulės kliošo koncertas
05:00 Ukrainos žinios "Ukraina 24" (Новини України. Україна 24)
06:00 AŽ kelionės (2)
07:00 Kiek už kvadratą? (17)
07:30 Kauno detalės: Laikinosios sostinės architektūros perlas – Amsterdamo mokyklos muziejus. Istorinis
08:00 Orijaus kelionės: Monrealis, 1 dalis (Kanada)
09:00 Ūkininko Petro dienoraštis (77)
09:30 Ūkininko Petro dienoraštis (78)
10:00 Egzotiniai keliai: Indija (3)
10:30 Egzotiniai keliai: Indija (4)
11:00 Pauliaus Samoškos nuotykiai. 7 pasaulio stebuklai (35)
11:30 Pauliaus Samoškos nuotykiai. 7 pasaulio stebuklai (36)
11:55 Kenoloto (Loterija "Keno Loto")
12:00 AŽ kelionės (2)
13:00 Orijaus kelionių archyvai: Neeilinės patirtys Balyje: brangiausia pasaulyje kava ir pavojingas beždžionių miškas (Balis, 3 dalis)
14:00 Pauliaus Samoškos nuotykiai. 7 pasaulio stebuklai (37)
14:30 Pauliaus Samoškos nuotykiai. 7 pasaulio stebuklai (38)
15:00 Per pasaulį su Luku Vainavičiumi (70). Nuotykių
15:30 Orijaus kelionių archyvai: Gražioji Kairo pusė (Kairas, 3 dalis)
16:00 Orijaus kelionių archyvai: Geriausiame Balio kurorte – šiukšlės ir siaubingi motorolerių kamščiai (Balis, 4 dalis)
17:00 Egzotiniai keliai: Indija (5)
17:30 Egzotiniai keliai: Indija (6)
17:55 Kenoloto (Loterija "Keno Loto")
18:00 Pauliaus Samoškos nuotykiai. 7 pasaulio stebuklai (39)
18:30 Pauliaus Samoškos nuotykiai. 7 pasaulio stebuklai (40)
19:00 Per pasaulį su Luku Vainavičiumi (71). Nuotykių
19:30 Orijaus kelionių archyvai: Gražioji Kairo pusė (Kairas, 3 dalis)
20:00 Atostogos su Sergejumi Maslobojevu (17). Dokumentika
20:30 Atostogos su Sergejumi Maslobojevu (18). Dokumentika
21:00 Burėmis į Arktį (9)
21:30 Egzotiniai keliai: Sokotra (2)
22:00 Per pasaulį su Luku Vainavičiumi (72). Nuotykių
22:30 Jėga ir Kenoloto (Loterijos "Keno Loto" ir "Jėga")
22:35 Orijaus kelionių archyvai: Gražioji Kairo pusė (Kairas, 3 dalis)
23:00 Orijaus kelionių archyvai: Neeilinės patirtys Balyje: brangiausia pasaulyje kava ir pavojingas beždžionių miškas (Balis, 3 dalis)

2026-01-02 - Penktadienis
00:00 Orijaus kelionių archyvai: Geriausiame Balio kurorte – šiukšlės ir siaubingi motorolerių kamščiai (Balis, 4 dalis)
01:00 Ukrainos žinios "Ukraina 24" (Новини України. Україна 24)
06:00 AŽ kelionės (3)
07:00 Poligonas (65). Karinis
07:30 Šeimų virtuvė (18)
08:00 Burėmis į Arktį (9)
08:30 Atostogos su Sergejumi Maslobojevu (18). Dokumentika
09:00 Ūkininko Petro dienoraštis (79)
09:30 Ūkininko Petro dienoraštis (80)
10:00 Egzotiniai keliai: Indija (5)
10:30 Egzotiniai keliai: Indija (6)
11:00 Pauliaus Samoškos nuotykiai. 7 pasaulio stebuklai (37)
11:30 Pauliaus Samoškos nuotykiai. 7 pasaulio stebuklai (38)
11:55 Kenoloto (Loterija "Keno Loto")
12:00 AŽ kelionės (3)
13:00 Orijaus kelionių archyvai: Geriausiame Balio kurorte – šiukšlės ir siaubingi motorolerių kamščiai (Balis, 4 dalis)
