-----
Lapkritis
-----
2023-11-01 - Trečiadienis
06:10 Rainbow High H1:E11
06:15 Rainbow High H1:E12
06:25 L.O.L. Surprise! House of Surprises H1:E6
06:35 Mano mažasis ponis: stebuklinga draugystė H1:E20 - Sulaukusi perspėjimo dėl baisios pranašystės, Princesė Celestia išsiunčia pernelyg daug besimokančią Sutemų Kibirkštį į Ponių miestą prižiūrėti pasiruošimą Vasaros Saulės šventei ir "susirasti draugų".
07:00 Transformeriai. Kibervisata* H2:E5
07:15 Transformeriai. Kibervisata* H2:E6
07:30 Berniukas, mergaite ir draugai* H1:E34 - Animaciniame seriale pasakojama apie paprastos šeimos nuotykius: berniuką, mergaitę, šunį, katę, pelę ir.... hm... sūrio gabalą, kurie gyvena kaip šeima po vienu stogu. Kas gali nutikti ne taip?
07:45 Berniukas, mergaite ir draugai* H1:E35 - Animaciniame seriale pasakojama apie paprastos šeimos nuotykius: berniuką, mergaitę, šunį, katę, pelę ir.... hm... sūrio gabalą, kurie gyvena kaip šeima po vienu stogu. Kas gali nutikti ne taip?
08:00 LEGO Nindžago: Drakonų sukilimas* H1:E14 - Spindžitsu nindzių meistras turi apmokyti naują karių kartą, kad ši padėtų surasti Stichijų drakonus, galinčius išgelbėti planetą, kol blogio jėgos, pasinaudodamos ta pačia drakonų energija, nesunaikino šio naujo pasaulio.
08:25 Stovyklautojai* H2:E2
08:50 Džesė* H3:E9 - Nepaprastai juokingas serialas apie teksasietę, kuri atsikrausto į Niujorką siekti savo svajonių, tačiau tampa garsių tėvų keturių vaikų aukle.
09:15 Barbė. Magijos galia* H1:E9
09:40 Rainbow High* H1:E10
09:47 Rainbow High* H1:E9
09:50 L.O.L. Surprise! House of Surprises* H1:E5
10:00 Septyni nykštukai ir aš* H1:E6 - Maža mergaitė sužino, kad yra šiuolaikinė Snieguolės palikuonė, o septyni nykštukai atvyksta į jos namus užmiestyje tapti jos angelais sargais.
10:25 LEGO Nindžago: Drakonų sukilimas* H1:E14 - Spindžitsu nindzių meistras turi apmokyti naują karių kartą, kad ši padėtų surasti Stichijų drakonus, galinčius išgelbėti planetą, kol blogio jėgos, pasinaudodamos ta pačia drakonų energija, nesunaikino šio naujo pasaulio.
10:50 Nykstantys* H1:E6 - Nykstantys - tai įkvepianti istorija apie keturis globos namuose gyvenančius paauglius, kurie pastebi, kad visatoje jie nėra vieni, nors kartais gali pasirodyti, kad yra vieniši.
