Viasat Kino Action
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
01:35 Šėtonas manyje (The Devil Inside). Siaubo. JAV, 2012
03:00 Narkotikų karas (Sicario). Trileris, mistinis, drama. JAV, Meksika, Hong Kongas, 2015
05:10 Baltasis škvalas (White Squall). Drama, kataklizmų, nuotykių. Anglija, JAV, 1996
07:15 Svaiginantis aukštis (Fall). Trileris, veiksmo. JAV, Anglija, 2022
09:00 Nauja duktė (The New Daughter). Trileris, siaubo. JAV, 2009
10:45 Griaustinio dienos (Days of Thunder). Drama, veiksmo. JAV, 1990
12:30 Vėžliukai nindzės (Teenage Mutant Ninja Turtles). Fantastinis, komedija, animacinis. JAV, Hong Kongas, 2007
13:55 Avangardas (Vanguard). Kriminalinis, komedija, nuotykių. Kinija, Hong Kongas, Indija, Pietų koreja, Taivanas, Anglija, 2020
15:35 Holivudo žmogžudysčių skyrius (Hollywood Homicide). Kriminalinis, komedija, veiksmo. JAV, 2003
17:30 Aeon Flux. Trileris, kriminalinis, nuotykių. JAV, Vokietija, Brazilija, Italija, 2005
19:00 Laikrodžių stabdytojai (Clockstoppers). Trileris, komedija, nuotykių. JAV, 2002
20:35 Vienveidis (The One). Trileris, veiksmo. JAV, 2001
22:00 Paranormalūs reiškiniai 2 (Paranormal Activity 2). Mistinis, siaubo. JAV, 2010
23:30 Amerikos psichopatė 2 (American Psycho II: All American Girl). Trileris, siaubo. JAV, Kanada, 2002

2026-01-02 - Penktadienis
00:55 Skambutis (The Ring). Mistinis, siaubo. JAV, Japonija, 2002
02:45 Kelly gauja (Ned Kelly). Istorinis, biografinis, veiksmo. Australija, Anglija, JAV, Prancūzija, 2003
04:35 Išlikimas (Survivor). Trileris, kriminalinis, veiksmo. JAV, Anglija, 2015
06:10 Drugelis (Le Papillon). Drama, komedija, nuotykių. Prancūzija, 2002
07:30 Griaustinio garsas (A Sound of Thunder). Trileris, siaubo, nuotykių. JAV, Čekija, Anglija, Vokietija, 2005
09:10 Vėžliukai nindzės (Teenage Mutant Ninja Turtles). Fantastinis, komedija, animacinis. JAV, Hong Kongas, 2007
10:35 Holivudo žmogžudysčių skyrius (Hollywood Homicide). Kriminalinis, komedija, veiksmo. JAV, 2003
12:30 Baltasis škvalas (White Squall). Drama, kataklizmų, nuotykių. Anglija, JAV, 1996
14:35 Kopos (Dune). Nuotykių, veiksmo. JAV, Meksika, 1984
16:45 Griaustinio dienos (Days of Thunder). Drama, veiksmo. JAV, 1990
18:30 Sakalo akis (Eagle Eye). Trileris, mistinis, veiksmo. JAV, 2008
20:25 Nebylios dvasios (The Quiet Ones). Trileris, siaubo. JAV, Anglija, 2014
22:00 Paranormalūs reiškiniai 3 (Paranormal Activity 3). Trileris, mistinis, siaubo. JAV, 2011
23:20 Amerikos vilkolakis Londone (An American Werewolf in London). Siaubo, komedija. JAV, Anglija, 1981

2026-01-03 - Šeštadienis
00:55 Skambutis 3 (Rings). Melodrama, mistinis, siaubo. JAV, 2017
02:40 Kitas pasaulis: Kraujo karai (Underworld: Blood Wars). Trileris, siaubo, fantastinis. JAV, 2016
04:30 Griaustinio garsas (A Sound of Thunder). Trileris, siaubo, nuotykių. JAV, Čekija, Anglija, Vokietija, 2005
06:10 Išlikimas (Survivor). Trileris, kriminalinis, veiksmo. JAV, Anglija, 2015
07:45 Holivudo žmogžudysčių skyrius (Hollywood Homicide). Kriminalinis, komedija, veiksmo. JAV, 2003
09:40 Sargybinis (The Sentinel). Trileris, kriminalinis, veiksmo. JAV, 2006
11:25 Kopos (Dune). Nuotykių, veiksmo. JAV, Meksika, 1984
13:35 Aeon Flux. Trileris, kriminalinis, nuotykių. JAV, Vokietija, Brazilija, Italija, 2005
15:05 Klientas (The Client). Trileris, mistinis, drama. JAV, 1994
