LNK
-----
Sausis
-----
2007-01-01 - Pirmadienis
07.35 Dienos programa.
07.40 "Triušis Bagsis ir draugai" (Warner Toons). 1997 m. JAV. Animacinis filmas
08.15 "Dinozaurų sala" (Lost World: Dinosaur Island, the). 2004 m. JAV. Animacinis filmas
09.30 "Turtuolis Ričis" (Richie Rich). 1994 m. JAV. Rež.: Donald Petrie . Vaid.: Macaulay Culkin, John Larroquette, Edward Herrmann. Komedija
11.15 "Haulo burtai. Keliaujanti pilis" (Howl`s Moving Castle). 2004 m. Japonija. Rež.: Hayao Miyazaki, Rick Dempsey. Animacinis filmas
13.25 "Laimingiausia žvaigždė" (Twinkle, Twinkle Lucky Stars). 1985 m. Honkongas. Rež.: Sammo Hung Kam-Bo. Vaid.: Sammo Hung Kam-Bo, Biao Yuen, Jackie Chan. N7. Veiksmo komedija
15.10 "Bio kupolas" (Bio-Dome). 1996 m. JAV. Rež.: Jason Bloom. Vaid.: William Atherton, Denise Dowse, Dara Tomanovich. N7. Komedija
16.55 "Fanfanas Tulpė" (Fanfan La Tulipe). 2003 m. Prancūzija. Rež.: Gérard Krawczyk. Vaid.: Vincent Perez, Penélope Cruz, Didier Bourdon. Nuotykių filmas
18.40 "MEGA dovanos". Vedėja: Skaiva Jasevičiūtė.
18.45 Žinios.
19.05 Sportas.
19.08 Orai.
19.10 "Katės ir šunys" (Cats & Dogs). 2001 m. JAV. Rež.: Lawrence Guterman. Vaid.: Jeff Goldblum, Elizabeth Perkins, Alexander Pollock. Nuotykių filmas
20.40 "Azartiniai žaidimai" (Reindeer Games). 2000 m. JAV. Rež.: John Frankenheimer. Vaid.: Gary Sinise, Charlize Theron, Ben Affleck. N14. Veiksmo filmas
22.35 "Plačiai užmerktos akys" (Eyes Wide Shut). 1999 m. JAV. Rež.: Stanley Kubrick. Vaid.: Nicole Kidman, Tom Cruise. N14. Erotinė drama

2007-01-02 - Antradienis
06.15 Dienos programa.
06.20 Dviračio šou (k). Humoro laida. Vedėjai: Vytautas Šerėnas ir Kristina Savickytė.
06.45 "Galaktikos futbolas" (22) (k) (Galactic Football). 2006 m. Prancūzija. Rež.: Antoine Charreyron, Frederic Dybowski. Animacinis serialas
07.10 "Labai slaptos agentės" (75) (k) (Totally Spies II). 2004 m. Prancūzija,JAV. Animacinis serialas
07.35 "Rožinė pantera" (67) (k) (Pink Panther Show). 1969 m. JAV. Rež.: Gerry Chiniquy, Arthur Davis. Animacinis serialas
08.00 Langai III (565) (k) (Okna III). 2005 m. Rusija. N7. Pokalbių laida
09.00 "Esi mano gyvenimas" (82) (k) (Sos Mi Vida). 2006 m. Argentina. Rež.: Rodolfo Antunez, Jorge Bechara. Vaid.: Natalia Oreiro, Facundo Arana. Telenovelė
10.00 "Nugalėtojai ir nuodėmingieji" (k) (Winners And Sinners (Wu Fu Xing)). 1983 m. Honkongas. Rež.: Sammo Hung Kam-Bo. Vaid.: Sammo Hung Kam-Bo, John Sham, Jackie Chan. N7. Veiksmo komedija
12.00 "Mažiausias Kalėdų eglės žiburėlis" (Littlest Light of Christmas). 2004 m. JAV. Animacinis filmas
12.55 "Gimusi laisva" (1) (Born Free). 1998 m. JAV. Rež.: Rick Hill, Timothy Scott Bogart. Vaid.: Benjamin Burdick, Laura Johnson, John Novak. Serialas
13.55 "Rožinė pantera" (69) (Pink Panther Show). 1969 m. JAV. Rež.: Gerry Chiniquy, Arthur Davis. Animacinis serialas
14.20 "Labai slaptos agentės" (77) (Totally Spies II). 2004 m. Prancūzija,JAV. Animacinis serialas
14.45 "Galaktikos futbolas" (24) (Galactic Football). 2006 m. Prancūzija. Rež.: Antoine Charreyron, Frederic Dybowski. Animacinis serialas
