Balticum Platinum
-----
Sausis
-----
2025-01-01 - Trečiadienis
09:00 Draminis serialas „Naujokė“ (15) (Ukraina, 2019 m.) (N-7)
10:00 Draminis serialas „Naujokė“ (16) (Ukraina, 2019 m.) (N-7)
11:00 Komiškas draminis serialas „Kelias namo“ (1) (Ukraina, 2024 m.) (N-7)
12:00 Komiškas draminis serialas „Kelias namo“ (2) (Ukraina, 2024 m.) (N-7)
13:00 Komiškas draminis serialas „Kelias namo“ (3) (Ukraina, 2024 m.) (N-7)
14:00 Komiškas draminis serialas „Kelias namo“ (4) (Ukraina, 2024 m.) (N-7)
15:00 Drama „Tarnaitė“ (Ukraina, 2020 m.) (N-7)
17:00 Komedija „Cosa Nostra“ (Ukraina, Italija, 2022 m.) (N-7)
19:00 Nuotykių komedija „Šv. Mikalojaus nuotykiai“ (Ukraina, 2018 m.) (N-7)
20:15 Draminis serialas „Naujokė“ (16) (Ukraina, 2019 m.) (N-7)
21:00 Drama „Broliai. Paskutinė išpažintis“ (Ukraina, 2015 m.) (N-14)
23:00 Komedija „Tolerancijos pamokos“ (Ukraina, 2024 m.) (N-14)
01:00 Komedija „Dvi žvaigždės“ (Ukraina, 2021 m.) (N-7)

2025-01-06 - Pirmadienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (1-2) (Ukraina, 2019 m.) (N-7)
08:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
09:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (1) (Ukraina, 2019 m.) (N-7)
11:00 Romantinis draminis serialas „Chameleonas“ (2) (Ukraina, 2019 m.) (N-7)
12:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (1-2) (Ukraina, 2019 m.) (N-7)
13:00 Komedija „Pašėlusios vestuvės“ (Ukraina, 2018 m.) (N-7)
15:00 Romantinis draminis serialas „Chameleonas“ (1) (Ukraina, 2019 m.) (N-7)
16:00 Romantinis draminis serialas „Chameleonas“ (2) (Ukraina, 2019 m.) (N-7)
17:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (1-2) (Ukraina, 2019 m.) (N-7)
18:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
19:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
20:00 Draminis serialas „Naujokė“ (17) (Ukraina, 2019 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Ėjimas žirgu“ (1) (Ukraina, 2022 m.) (N-14)
22:00 Detektyvinis serialas „Ėjimas žirgu“ (2) (Ukraina, 2022 m.) (N-14)
23:00 Draminis serialas „Naujokė“ (17) (Ukraina, 2019 m.) (N-7)
00:00 Romantinis draminis serialas „Chameleonas“ (1) (Ukraina, 2019 m.) (N-7)
01:00 Romantinis draminis serialas „Chameleonas“ (2) (Ukraina, 2019 m.) (N-7)

2025-01-07 - Antradienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (3-4) (Ukraina, 2019 m.) (N-7)
08:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
09:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (3) (Ukraina, 2019 m.) (N-7)
11:00 Romantinis draminis serialas „Chameleonas“ (4) (Ukraina, 2019 m.) (N-7)
12:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (3-4) (Ukraina, 2019 m.) (N-7)
13:00 Komedija „Geriausias savaitgalis“ (Ukraina, 2022 m.) (N-7)
15:00 Romantinis draminis serialas „Chameleonas“ (3) (Ukraina, 2019 m.) (N-7)
16:00 Romantinis draminis serialas „Chameleonas“ (4) (Ukraina, 2019 m.) (N-7)
17:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (3-4) (Ukraina, 2019 m.) (N-7)
18:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
19:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
20:00 Draminis serialas „Naujokė“ (18) (Ukraina, 2019 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Ėjimas žirgu“ (3) (Ukraina, 2022 m.) (N-14)
22:00 Detektyvinis serialas „Ėjimas žirgu“ (4) (Ukraina, 2022 m.) (N-14)
23:00 Draminis serialas „Naujokė“ (18) (Ukraina, 2019 m.) (N-7)
00:00 Romantinis draminis serialas „Chameleonas“ (3) (Ukraina, 2019 m.) (N-7)
01:00 Romantinis draminis serialas „Chameleonas“ (4) (Ukraina, 2019 m.) (N-7)

2025-01-08 - Trečiadienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (5-6) (Ukraina, 2019 m.) (N-7)
08:00 Komedija „Pašėlusios vestuvės“ (Ukraina, 2018 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (5) (Ukraina, 2019 m.) (N-7)
11:00 Romantinis draminis serialas „Chameleonas“ (6) (Ukraina, 2019 m.) (N-7)
12:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (5-6) (Ukraina, 2019 m.) (N-7)
13:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
14:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
15:00 Romantinis draminis serialas „Chameleonas“ (5) (Ukraina, 2019 m.) (N-7)
16:00 Romantinis draminis serialas „Chameleonas“ (6) (Ukraina, 2019 m.) (N-7)
17:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (5-6) (Ukraina, 2019 m.) (N-7)
18:00 Draminis serialas „Naujokė“ (17) (Ukraina, 2019 m.) (N-7)
19:00 Draminis serialas „Naujokė“ (18) (Ukraina, 2019 m.) (N-7)
20:00 Komedija „Dvi žvaigždės“ (Ukraina, 2021 m.) (N-7)
22:00 Romantinis draminis serialas „Audra virš Tichorečės“ (1) (Ukraina, 2016 m.) (N-7)
23:00 Romantinis draminis serialas „Audra virš Tichorečės“ (2) (Ukraina, 2016 m.) (N-7)
00:00 Romantinis draminis serialas „Chameleonas“ (5) (Ukraina, 2019 m.) (N-7)
01:00 Romantinis draminis serialas „Chameleonas“ (6) (Ukraina, 2019 m.) (N-7)

2025-01-09 - Ketvirtadienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (7-8) (Ukraina, 2019 m.) (N-7)
08:00 Komedija „Dvi žvaigždės“ (Ukraina, 2021 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (7) (Ukraina, 2019 m.) (N-7)
11:00 Romantinis draminis serialas „Chameleonas“ (8) (Ukraina, 2019 m.) (N-7)
12:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (7-8) (Ukraina, 2019 m.) (N-7)
13:00 Draminis serialas „Naujokė“ (17) (Ukraina, 2019 m.) (N-7)
14:00 Draminis serialas „Naujokė“ (18) (Ukraina, 2019 m.) (N-7)
15:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
16:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
17:00 Romantinis draminis serialas „Chameleonas“ (7) (Ukraina, 2019 m.) (N-7)
18:00 Romantinis draminis serialas „Chameleonas“ (8) (Ukraina, 2019 m.) (N-7)
19:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (7-8) (Ukraina, 2019 m.) (N-7)
20:00 Komedija „Geriausias savaitgalis“ (Ukraina, 2022 m.) (N-7)
22:00 Romantinis draminis serialas „Audra virš Tichorečės“ (3) (Ukraina, 2016 m.) (N-7)
23:00 Romantinis draminis serialas „Audra virš Tichorečės“ (4) (Ukraina, 2016 m.) (N-7)
00:00 Romantinis draminis serialas „Chameleonas“ (7) (Ukraina, 2019 m.) (N-7)
01:00 Romantinis draminis serialas „Chameleonas“ (8) (Ukraina, 2019 m.) (N-7)

2025-01-10 - Penktadienis
07:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
08:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
09:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
10:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
11:00 Komedija „Dvi žvaigždės“ (Ukraina, 2021 m.) (N-7)
13:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (1-2) (Ukraina, 2019 m.) (N-7)
14:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (3-4) (Ukraina, 2019 m.) (N-7)
15:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (5-6) (Ukraina, 2019 m.) (N-7)
16:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (7-8) (Ukraina, 2019 m.) (N-7)
17:00 Draminis serialas „Naujokė“ (17) (Ukraina, 2019 m.) (N-7)
18:00 Draminis serialas „Naujokė“ (18) (Ukraina, 2019 m.) (N-7)
19:00 Karinis draminis serialas „Meilės šauksmas“ (1) (Ukraina, 2024 m.) (N-7) / Premjera
20:00 Karinis draminis serialas „Meilės šauksmas“ (2) (Ukraina, 2024 m.) (N-7) / Premjera
21:00 Karo drama „Taikos 21“ (Ukraina, 2023 m.) (N-14)
23:00 Detektyvinis serialas „Ėjimas žirgu“ (1) (Ukraina, 2022 m.) (N-14)
00:00 Detektyvinis serialas „Ėjimas žirgu“ (2) (Ukraina, 2022 m.) (N-14)
01:00 Detektyvinis serialas „Ėjimas žirgu“ (3) (Ukraina, 2022 m.) (N-14)
02:00 Detektyvinis serialas „Ėjimas žirgu“ (4) (Ukraina, 2022 m.) (N-14)

2025-01-11 - Šeštadienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (1-2) (Ukraina, 2019 m.) (N-7)
08:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (3-4) (Ukraina, 2019 m.) (N-7)
09:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (5-6) (Ukraina, 2019 m.) (N-7)
10:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (7-8) (Ukraina, 2019 m.) (N-7)
