Balticum Platinum
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
08:00 Detektyvinis serialas „Tėvas“ (3) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (4) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
12:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)
13:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
14:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
15:00 Detektyvinis serialas „Tėvas“ (3) (Ukraina, 2024 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (4) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (3) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (4) (Ukraina, 2024 m.) (N-7)
19:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
20:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Tėvas“ (3) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (4) (Ukraina, 2024 m.) (N-7)
23:00 Draminis serialas „Traukinys“ (3) (Ukraina, 2024 m.) (N-7)

2026-01-07 - Trečiadienis
00:00 Draminis serialas „Traukinys“ (4) (Ukraina, 2024 m.) (N-7)
01:00 Humoro serialas „Didieji Vuikai“ (2/3-4) (Ukraina, 2020 m.) (N-7)
07:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (5) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (6) (Ukraina, 2024 m.) (N-7)
10:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)
11:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
12:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
13:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
