LRT Plius
-----
Sausis
-----
2025-01-01 - Trečiadienis
0.01 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose atlikėja Giedrė. Ved. Ramūnas Zilnys.
0.30 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose grupė „Baltic Balkan“. Ved. Ramūnas Zilnys.
1.00 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose grupė „Shower“. Ved. Ramūnas Zilnys.
1.30 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose grupė „Sraigės Efektas“. Ved. Ramūnas Zilnys.
2.00 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose atlikėja Petunija. Ved. Ramūnas Zilnys.
2.30 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose grupė „Despotin Fam“. Ved. Ramūnas Zilnys.
3.00 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose atlikėja Aistė. Ved. Ramūnas Zilnys.
3.30 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose grupė „Abudu“. Ved. Ramūnas Zilnys.
4.00 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose grupė „Homechestra“. Ved. Ramūnas Zilnys.
4.30 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose grupė „Egomašina“. Ved. Ramūnas Zilnys.
5.00 LRT OPUS pilnatis. Jaukių koncertų ir pokalbių ciklas. Svečiuose grupė „BIX“. Ved. Ramūnas Zilnys.
5.30 Savaitė su „Dviračio žiniomis“. Pramoginė humoro programa. (kart.).
6.00 Lietuvos Respublikos himnas.
6.05 Gražiausios Franko Sinatros dainos naujai. Atlieka Justinas Lapatinskas ir Vilniaus Šv. Kristoforo kamerinis orkestras. | Meno vadovas ir vyr. dirigentas Modestas Barkauskas.
7.30 Kas ir kodėl? Intelektinė viktorina. Ved. Darius Jurgelevičius.
8.00 LRT Naujųjų metų šou. Ved. Ramūnas Zilnys, Livija Gradauskienė, Beata Nicholson ir Ignas Krupavičius. | Dalyvauja Vaidas Baumila, Rūta Loop, Rokas Yan, Monika Marija, „Antikvariniai Kašpirovskio dantys“, „SHWR“, Pijus Opera, Giedrė, Dainotas Varnas, Saulius Prūsaitis, Justinas Jarutis, Silvestr Belt, „BIX“ ir kt. (kart.).
11.00 Ernestas ir Selestina. Žiemos pasakos (Ernest and Celestine). Animacinis filmas. 2016 m. Rež. Julien Cheng, Jean-Christophe Roger. Prancūzija.
11.50 Didelis blogas lapinas ir kitos istorijos (Le Grand Méchant Renard et autres contes.). Animacinis filmas. 2017 m. | Rež. Patrick Imbert, Benjamin Renner. Prancūzija, Belgija
13.15 Lobis. Vaidybinis filmas. 2022 m. | Rež. Agnė Marcinkevičiūtė. Vaid. Vladas Bagdonas, Janina Matekonytė, Patricia Volkova, Jonas Šumskas, Ainis Radkevičius, Bernadeta Mikutaitė ir kt. Lietuva.
14.40 Gustavo nuotykiai. Vaidybinis animacinis filmas. 2014 m. | Rež. Vaidas Lekavičius, Augustinas Gricius. Vaid. Audrius Rakauskas, Andrius Žebrauskas, Arūnas Sakalauskas, Remigijus Sabulis, Karina Krysko, Marijonas Mikutavičius ir kt. Lietuva.
16.20 Miauricijus Puikusis (The Amazing Maurice). Animacinis filmas. 2022 m. Rež. Toby Genkel, Florian Westermann. Didžioji Britanija, Vokietija. (kart.).
18.00 Martynas Levickis. Dešimt tūkstančių detalių. Dokumentinis filmas. 2023 m. Rež. Jurga Klimaitė-Riebling. Montažo rež. Armas Rudaitis. Lietuva.
