LRT Plius
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
0.02 Katie Melua su orkestru. (koncerto tęsinys).
1.00 LRT OPUS pilnatis. Svečiuose grupė „Ambulance on Fire“. Ved. Ramūnas Zilnys.
1.30 LRT OPUS pilnatis. Svečiuose Brokenchord, arba Ernestas Kaušylas. Ved. Ramūnas Zilnys.
2.00 LRT OPUS pilnatis. Svečiuose atlikėja Jurga. Ved. Ramūnas Zilnys.
2.30 LRT OPUS pilnatis. Svečiuose grupė „The Station“. Ved. Ramūnas Zilnys.
3.00 LRT OPUS pilnatis. Svečiuose grupė „Elnio rago miškas“. Ved. Ramūnas Zilnys.
3.30 LRT OPUS pilnatis. Svečiuose atlikėjas Andrius Mamontovas. Ved. Ramūnas Zilnys.
4.00 LRT OPUS pilnatis. Svečiuose atlikėja Godo Yorke. Ved. Ramūnas Zilnys.
4.30 LRT OPUS pilnatis. Svečiuose Monika Pundziūtė. Ved. Ramūnas Zilnys.
5.00 LRT OPUS pilnatis. Svečiuose atlikėja Jausmė. Ved. Ramūnas Zilnys.
5.30 LRT OPUS pilnatis. Svečiuose Leon Somov. Ved. Ramūnas Zilnys.
6.00 Lietuvos Respublikos himnas.
6.02 Euromaxx. Europos kultūros ir gyvenimo būdo žurnalas. Ved. Audrius Giržadas. (kart.).
6.30 LRT Naujųjų metų šou. Ved. Ignas Krupavičius, Beata Nicholson, Livija Gradauskienė, Ramūnas Zilnys. Dalyvauja „Biplan“, Atlanta, Aistė, Deivis ir Renata, Egidijus Sipavičius, „Studija“ ir kiti. (kart.).
10.00 Šalin meilę (Down With Love). Romantinė komedija. 2003. Rež.: Peyton Reed. Vaid.: Renée Zellweger, Ewan McGregor, Sarah Paulson, David Hyde Pierce. Vokietija, JAV. N-7. (kart.).
11.40 Daug triukšmo dėl nieko (Much Ado About Nothing). Komedija. 1993. Rež.: Kenneth Branagh. Vaid.: Richard Briers, Michael Keaton, Robert Sean Leonard, Keanu Reeves, Emma Thompson. Jugtinė Karalystė, JAV. (kart.).
13.30 Koncertas „Marijonas Mikutavičius 360 / Vilnius“ (kart.).
15.00 Koncertas „Hiperbolės“ legendos grįžta garsiai“. Dalyvauja legendinės grupės nariai bei svečiai. 2025.
16.30 Koncertuoja grupė „Žemaitukai“. (kart.).
18.00 Premjera. Ją vadina Diva. Dokumentinis filmas. 2025. Rež.: Rokas Jaunius. Lietuva.
19.40 Premjera. Japoniškas sodas. Keturi metų laikai. Dokumentinis filmas. 2025. Rež.: Aidas Markauskas. Lietuva.
20.30 Panorama (su vertimu į gestų k.).
20.52 Sportas. Orai (su vertimu į gestų k.).
21.00 3 minutės iki kino. Prancūzų filmą „Janikas“ pristato kino režisierius Karolis Kaupinis.
21.03 Elito kinas. Premjera. Janikas (Yannick). Komiška drama. 2023. Rež.: Quentin Dupieux. Vaid.: Raphaël Quenard, Pio Marmaï, Blanche Gardin. Prancūzija. N-7. (subtitruota).
22.15 Puikios dienos (Perfect Days). Drama. 2023. Rež.: Wim Wenders. Vaid.: Miyako Tanaka, Koji Yakusho, Long Mizuma, Tokio Emoto. Japonija, Vokietija. N-14. (subtitruota).

2026-01-02 - Penktadienis
0.15 Jausmingiausios miuziklų dainos. „Vilnius Voices” koncertas. (kart.).
1.30 Dviračio savaitė. Humoristinė aktualijų programa. Ved. Augustinas Gricius. (kart.).
2.00 Metų panorama (kart.).
3.00 Žinios. Sportas. Orai (su vertimu į gestų k.) (kart.).
3.30 Panorama (su vertimu į gestų k.) (kart.).
3.52 Sportas. Orai (su vertimu į gestų k.) (kart.).
4.00 Mes – ukrainiečiai. Programa, skirta ukrainiečių tautinei bendrijai Lietuvoje. Ved. Anna Romanenko (subtitruota, kart.).
