Smartzone
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
06:45 Endžio nuotykiai safaryje (S1E27) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
07:00 Jaunųjų kepėjų lyga: Finalas – 2 diena (S4E15) (Junior Bake Off). Vaikams. Anglija, 2016
07:29 Mokslo sprogimas: Apie tankį (S1E1) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
07:35 Siaubingos istorijos: Klastingasis Vilhelmas Užkariautojas (S6E3) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
08:02 Kaip tai veikia?: Platina, manga (S15E20) (How Do They Do It?). Dokumentika. Kanada, Anglija, Singapūras, 2018
08:25 Endžio nuotykiai laukinėje gamtoje: Makakos (S1E16) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
08:40 Senovės paslaptys: Duonos paslaptis (S1E2) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
09:04 Pasauliniai Endžio nuotykiai: Endis ir miško drambliai (S1E5) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
09:19 Operacija "Herojus" (S1E7) (Operation Hero). Naujoji Zelandija, 2011
09:42 Mokslo sprogimas (S1E39) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
09:48 Nuostabiosios Greisės mašinos (S3E2) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
10:03 Dino Deina: Gaujos lyderis / Dino prižiūrėtojas (S3E7) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
10:26 Susipažink su žvėrynu (S1E1) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
10:49 Endžio dinozaurų nuotykiai: Stegozauras ir tapyba (S1E16) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
11:05 Kalbantys gyvūnai (S2E5) (We're Talking Animals). Apie gamtą. Australija, 2015
11:29 Irvinų šeimynėlė: Krokodilų meilės istorija (S2E5) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
12:12 Mokslo sprogimas: Apie tankį (S1E1) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
12:17 Endžio nuotykiai laukinėje gamtoje: Stručiai (S1E17) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
12:33 Endžio nuotykiai safaryje (S1E27) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
12:48 Mokslo sprogimas (S1E40) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
12:54 Operacija "Herojus" (S1E8) (Operation Hero). Naujoji Zelandija, 2011
13:17 Nuostabiosios Greisės mašinos (S3E3) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
13:32 Senovės paslaptys: Duonos paslaptis (S1E2) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
13:56 Jaunųjų kepėjų lyga (S5E1) (Junior Bake Off). Vaikams. Anglija, 2019
14:42 Pasauliniai Endžio nuotykiai: Endis ir orangutangai (S1E6) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
14:58 Dino Deina: Dino pirkimas / Dino bėda (S3E8) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
15:20 Krutink smegenis: Kodėl metalas toks stiprus? (S1E1) (BrainBuzz). Australija, 2018
15:46 Irvinų šeimynėlė: Didelė diena mažajam raganosiui (S2E4) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
16:29 Siaubingos istorijos: Alfredas Didysis (S6E2) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
16:59 Mokslo sprogimas: Gyvenimo ratas (S1E2) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
17:03 Endžio dinozaurų nuotykiai: T-Rex ir atspaudas (S1E15) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
17:19 Kalbantys gyvūnai (S2E6) (We're Talking Animals). Apie gamtą. Australija, 2015
17:43 Susipažink su žvėrynu (S1E1) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
18:06 Endžio nuotykiai laukinėje gamtoje: Makakos (S1E16) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
18:21 Mokslo sprogimas (S1E40) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
18:27 Nuostabiosios Greisės mašinos (S3E2) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
