LTV
-----
Sausis
-----
2009-01-01 - Ketvirtadienis
7.45 "Mes grįžom!"
9.00 "Kempiniukas Plačiakelnis". Animacinė komedija.
10.30 "Volisas ir Gromitas. Gyvenimas arba mirtis". Animacinė komedija.
11.00 Šv. Mišių, vadovaujamų Švento Tėvo Benedikto XVI, skirtų Pasaulinei Taikos Dienai.
12.30 LRT 50-mečio koncertas.
14.50 Cirko šventė Venecijoje.
16.00 Žinios.
16.10 "Liepsnojantis ledas".
18.00 "Voro vestuvės". Roko operos visai šeimai premjera.
20.25 Loterija "Perlas".
20.30 Panorama.
20.45 "Dingęs pasaulis. Jūros periodo parkas". Fantastinis trileris.
23.15 Beyonce Knowles koncertas.

2009-01-02 - Penktadienis
7.45 "Sniego karalienė". Animacinis f. 
8.50 "Trys riešutėliai Pelenei". Pasaka.
10.30 VIII-asis tarptautinis cirko festivalis Circo Massimo".
11.30 2008 m. Eurovizijos dainų konkurso finalas Belgrade.
14.15 Grok, Jurgeli – 2008.
16.00 Žinios.
16.10 "Dičiaus karjera".LTV muzikinis vaidybinis f.
17.45 "Mergaitė su degtukais". LTV muzikinis f.
18.30 "Svečiuose pas Stepą".
20.25 Loterija "Perlas".
20.30 Panorama.
20.45 Gero ūpo!
23.00 "Pasaulio pabaiga". Veiksmo trileris.

2009-01-03 - Šeštadienis
08.00 Gimtoji žemė.
08.30 "Ponas Bynas".
08.55 "Normanas Normalusis".
09.20 "Paslapčių sodas".
09.50 "Aviukas Šonas" .
10.00 Tele bim-bam Nauji Metai.
11.00 Šokių Eurovizija 2008.
13.30 Surikatų namai.
14.00 "Atžalynas".
16.00 Žinios.
16.10 SEB BBL krepšinio čempionato rungtynės. Rygos "ASK" – Vilniaus "Lietuvos rytas".
18.00 Loterija "Tuzinas auksinių".
18.30 Juokis 2008.
20.25 Loterija "Perlas".
20.30 Panorama.
21.00 "Mūsų žiema".
22.20 "Kai artinasi blogis". Fantastinis siaubo f.

2009-01-04 - Sekmadienis
08.00 Krikščionio žodis.
08.15 "Šuniuko Bali nuotykiai".
08.30 "Ponas Bynas".
08.55 "Normanas Normalusis".
09.20 "Paslapčių sodas".
09.50 "Aviukas Šonas".
10.00 Gustavo enciklopedija.
10.30 Talentų ringas.
12.00 "Neregėta Australija". 
13.00 "Puaro". Detektyvas.
15.00 Pasaulio kultūrizmo čempionatas Vilniuje.
15.30 Šventadienio mintys.
16.00 Žinios.
16.10 (K)laidelė.
16.15 Gyvenimo ratu.
17.00 Be pykčio.
17.30 Popietė su Algimantu Čekuoliu.
18.00 Keliaukim!
18.30 Stilius.
19.30 Bėdų turgus.
20.30 Panorama.
20.45 "Jūros periodo parkas III".
22.30 Vienos filharmonijos orkestro koncertas.

2009-01-05 - Pirmadienis
6.00 Labas rytas.
9.00 Gero ūpo! (k).
11.00 Tarp Rytų ir Vakarų.
12.00 Bėdų turgus (k).
13.00 Kultūrų kryžkelė.
13.15 Dar širdyje ne sutema.
14.00 "Prokurorai".
15.00 "Sachalinas. Atšiauri kasdienybė ir iššūkiai". Dokumentinis f.
16.00 Negali būti.
16.30 "Labiau už viską".
17.30 "Diagnozė: žmogžudystė".
18.30 Šiandien.
19.00 Keliai. Mašinos. Žmonės.
19.55 "Neskubėk gyventi".
20.25 Loterija "Perlas".
20.30 Panorama.
21.10 Redakcija.
22.04 Loterija "Perlas".
22.05 Trys milijonai.
23.00 Vakaro žinios.
23.15 "Jūros periodo parkas III" (k).

2009-01-06 - Antradienis
6.00 Labas rytas.
9.00 Mūsų dienos kaip šventė (k).
11.00 Ant svarstyklių.
12.00 Keliai. Mašinos. Žmonės (k).
13.00 Kultūrų kryžkelė.
13.15 Dar širdyje ne sutema.
14.00 "Prokurorai".
