LTV
-----
Sausis
-----
2010-01-01 - Penktadienis
00.30 Andriaus Mamontovo koncertas.
08.00 „Kurmis ir … Kurmis mieste”.
08.30 „Žaislų parduotuvė”. Animacinis f.
09.30 „Amerikos peliukai. Faivelas traukia į Vakarus”. Animacinis f.
11.00 Šv. Mišių iš Romos šv. Petro Bazilikos, skirtų Pasaulinei Taikos dienai.
12.45 Pasaulio Lotynų Amerikos sportinių šokių ansamblių čempionatas.
13.45 Klausimėlis.
14.00 „Aštuonkojai iš antro aukšto”. Komedija.
16.00 Žinios.
16.10 Dainuoja Seimo nariai.
17.00 Juokis 2009.
19.00 Lietuvos tūkstantmečio vaikai.
20.25 Loterija „Perlas”.
20.30 Panorama.
20.45 Duokim garo !
22.04 Pertraukoje – Loterija „Perlas”.
22.05 Duokim garo !
22.45 „Pinigų liūnas”. Komedija.

2010-01-02 - Šeštadienis
08.00 „Kurmis ir … Kurmis – filmų žvaigždė”.
08.30 „Pluto diena”. Animacinis f.
09.30 „Amerikos peliukai. Nakties siaubūno paslaptis”. Animacinis f.
11.00 Eurovizijos dainų konkursas 2009. Finalas.
13.45 Klausimėlis.
14.00 „Aštuonkojai iš antro aukšto linki linksmų Kalėdų!”. Komedija.
16.00 Žinios.
16.10 Sveikinimų koncertas.
18.00 Loterija „Tuzinas auksinių”.
18.30 „Artūras ir minimukai”. Fantastinis f.
20.25 Loterija „Perlas”.
20.30 Panorama.
21.00 „Flinstounai”. Komedija.
23.00 „Bointono pakrantės našlių klubas”. Komedija.

2010-01-03 - Sekmadienis
08.00 Krikščionio žodis.
08.15 „Fliperis”.
08.40 „Tufiai ir Tuniai”.
08.55 „Pašėlę Tornberiai”.
09.20 „Paslapčių sodas”.
09.50 „Aviukas Šonas”.
10.00 Gustavo enciklopedija.
10.30 Talentų ringas.
12.00 „Šaolino vienuolynas. Kung fu istorija” . Dokumentinis f.
13.00 „Mis Marpl. Nekaltumo įrodymas”.
15.00 Pulsas.
15.30 Šventadienio mintys.
16.00 Žinios.
16.10 Tūkstantmečio pokalbiai.
17.00 Gamtos patruliai.
17.30 Popietė su Algimantu Čekuoliu.
18.00 Keliaukim!
18.30 Stilius.
19.30 Bėdų turgus.
20.30 Panorama.
20.45 Savaitė.
21.15 „Migruojantys paukščiai 2. Imperatoriškojo pingvino kelionė”. Dokumentinis f.
23.15 2010 m. Vienos filharmonijos orkestro naujametis koncertas.

2010-01-04 - Pirmadienis
6.00 Labas rytas.
9.00 Senis (k).
10.10 Makleodo dukterys (k).
11.00 Tarp Rytų ir Vakarų.
12.00 Bėdų turgus (k).
13.00 Duokim garo! (k).
15.00 Kultūrų kryžkelė.
15.15 Maiklos nuotykiai gamtoje.
15.45 Likimo valsas.
16.15 Makleodo dukterys.
17.10 Senis.
18.15 Šiandien.
18.45 Komisaras Reksas.
19.45 Idėjų metas.
20.25 Loterija „Perlas”.
20.30 Panorama.
21.10 Andriaus Mamontovo koncertas.
22.04 Loterija „Perlas”.
22.07 Andriaus Mamontovo koncertas.
23.00 Vakaro žinios.
23.15 Dingę.

2010-01-05 - Antradienis
6.00 Labas rytas.
9.00 Senis (k).
10.05 Komisaras Reksas (k).
11.00 Ant svarstyklių.
12.00 Tūkstantmečio pokalbiai (k).
13.00 Sveikinimų koncertas (k).
14.45 Klausimėlis (k).
15.00 Kultūrų kryžkelė.
15.15 Maiklos nuotykiai gamtoje.
15.45 Likimo valsas.
16.15 Makleodo dukterys.
17.10 Senis.
18.15 Šiandien.
18.45 Komisaras Reksas.
19.45 Žurnalisto tyrimas.
20.25 Loterija „Perlas”.
20.30 Panorama.
21.10 Jurgos koncertas – nauja programa „+37°”.
22.04 Loterija „Perlas”.
