Epic Drama
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
01:25 Merdoko paslaptys: Sveiki atvykę į rojų (S18E8) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
02:20 Mėgstantis skaityti: Šiek tiek suklydęs (S1E2) (Bookish). Drama, kriminalinis. Anglija, 2025
03:35 Didelės ir mažos širdys: Daug laimingų sugrįžimų (S2E4) (All Creatures Great and Small). Drama, komedija. Anglija, 2021
04:30 Didelės ir mažos širdys: Kas muša paskutinis (S2E5) (All Creatures Great and Small). Drama, komedija. Anglija, 2021
05:30 Skarlet ir Kunigaikštis: Šešios pėdos po žeme (S4E2) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
06:40 Detektyvė Fišer: Naujametinis blogis (S2E8) (Ms Fisher's Modern Murder Mysteries). Mistinis, drama, kriminalinis. Australija, 2021
07:10 Detektyvė Fišer: Ką tik nužudyta. 1 dalis (S1E1) (Ms Fisher's Modern Murder Mysteries). Mistinis, drama, kriminalinis. Australija, 2019
08:05 Skarlet ir Kunigaikštis: Ištakos (S4E3) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
09:15 Didelės ir mažos širdys: Skaudi tiesa (S2E6) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
10:15 Agatos Kristi mis Marpl: Žudyti lengva (S4E2) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
12:20 Merdoko paslaptys: Sveiki atvykę į rojų (S18E8) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
13:15 Merdoko paslaptys: Tikrasis išbandymas (S18E9) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
14:10 Žmogžudystė mažame miestelyje: Pasitikėk, bet patikrink (S2E6) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
15:10 Mėnulio akmuo (S1E4) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
16:00 Agatos Kristi mis Marpl: Žudyti lengva (S4E2) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
18:10 Marlou žmogžudysčių klubas: Mirtis šalia. 2 dalis (S2E4) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
19:10 Merdoko paslaptys: Vyrai, kurie pardavė pasaulį (S18E10) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
20:05 Merdoko paslaptys: Bombos (S18E11) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
21:00 Hardakerių šeima (S1E4) (The Hardacres). Drama. Anglija, 2024
22:00 Mėgstantis skaityti: Mirtinas nitratas (S1E3) (Bookish). Drama, kriminalinis. Anglija, 2025
23:05 Komisaras Rikardis: Aušros rauda (S3E3) (Il Commissario Ricciardi). Mistinis, drama, kriminalinis. Italija, 2025

2026-01-02 - Penktadienis
01:20 Merdoko paslaptys: Vyrai, kurie pardavė pasaulį (S18E10) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
02:15 Merdoko paslaptys: Bombos (S18E11) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
03:15 Mėgstantis skaityti: Mirtinas nitratas (S1E3) (Bookish). Drama, kriminalinis. Anglija, 2025
04:20 Didelės ir mažos širdys: Skaudi tiesa (S2E6) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
05:20 Skarlet ir Kunigaikštis: Ištakos (S4E3) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
