1995-05-05 - Penktadienis
7.00 Ryto ratas.
17.55 Programa.
18.00 Anglų animacinis filmas „Volesas ir Gromitas“.
18.30 Amerikiečių vaid. filmas „Malibu kelias, 2000“. 1 d.
20.00 Laikas.
20.40 Salonas dviem.
21.05 TV žaidimas „Taip. Ne.“
21.55 Dviračio šou.
22.15 Muzikinė laida „Viskas“.
22.35 Videokaukas.

1995-05-06 - Šeštadienis
8.55 Programa.
9.00 Ryto ratas.
11.00 Naujienos (rusų k.).
11.20 „Volesas ir Gromitas“.
11.50 „Malibu kelias, 2000“. 1 d.
13.20 „Deutsche Welle“ informaciniai žurnalai.
14.20 Informacinis žurnalas „Kontaktas“.
14.50 Tikro garso koncertas su „Rebelheart“.
15.40 Salonas dviem.
16.00 Muzikinė laida „Viskas!“.
16.20 Dviračio šou.
16.40 Kibir tele vibir.
18.00 Australijos serialas „Tolimosios šėtros“.
18.55 Keturi ratai.
19.25 Karaoke ir kiti.
20.00 Laikas.
20.40 „Unplugged su Fojė“. Tikro garso koncertas iš LNK TV studijos.
21.40 JAV humoro serialas „Eteris!“
22.05 Šou bulvaras. Humoro laida.
22.35 JAV trileris „Žuvys žudikės“.

1995-05-07 - Sekmadienis
8.55 Programa.
9.00 Amerikiečių dok. filmas „Marija Terezė“.
10.20 TV žaidimas „Taip. Ne“.
11.10 Karaoke ir kiti.
11.40 „Tolimosios šėtros“.
12.35 „Unplugged su Fojė“.
13.35 Keturi ratai.
14.00 Šou bulvaras.
14.30 „Deutsche Welle“. Informacinė laida.
15.00 Kibir tele vibir.
16.30 Amerikiečių animac. filmas „Paskutinė vienaragė“.
18.00 „168 biznio valandos“. Informacinė laida.
18.50 Animacinis serialas „Flinstounai“.
19.20 Anglų serialas „Meilė žeidžia“.
20.15 „Monitorius“. Savaitės aktualijų diskusinė laida.
21.00 Savaitės horoskopas.
21.05 Amerikiečių vaid. filmas „Berniukai iš Brazilijos“.
23.10 „Sekmadienis“ (rusų k.).

1995-05-08 - Pirmadienis
16.55 Programa.
17.00 Laikas.
17.15 „168 biznio valandos“.
18.10 „Beverli Hilsas, 90210“. Įvadinė serija.
20.00 Laikas.
20.40 Amerikiečių serialas „Dar vienas šansas“.
21.35 Tangomanija.
22.00 „Unplugged su Fojė“.
23.00 Monitorius.

1995-05-09 - Antradienis
7.00 Ryto ratas.
16.55 Programa.
17.15 „Taip. Ne“.
18.05 Animac. serialas „Robinzonas Zukro“. I ser.
18.30 „Beverli Hilsas, 90210“. I ser.
19.30 Dok. serialas „Povandeninės kelionės“. I ser.
20.00 Laikas.
20.40 JAV serialas „Žmogžudysčių skyrius“. X ser.
