TV3 Plus
-----
Sausis
-----
2025-01-01 - Trečiadienis
06:30 "Skonių sodas" ("Вкусный Сад")
06:45 "Skonių sodas" ("Вкусный Сад")
07:00 "Skonių sodas" ("Вкусный Сад")
07:15 "Skonių sodas" ("Вкусный Сад")
07:30 "Džeimio Oliverio Kalėdos" ("Jamie's Family Christmas")
08:00 "Stebuklų medžiotojai" ("Охотники за чудесами")
09:00 "Praeitis dar tik laukia" ("Когда прошлое впереди")
10:00 "Kaip ilgai aš tavęs laukiau" ("Как долго я тебя ждала")
11:00 "Itališka meilė" ("Muchacha italiana viene a casarse")
11:45 "Itališka meilė" ("Muchacha italiana viene a casarse")
12:30 "Itališka meilė" ("Muchacha italiana viene a casarse")
13:15 "Itališka meilė" ("Muchacha italiana viene a casarse")
14:00 "Gyvenimo šukės" ("Kirik Hayatlar")
14:45 "Gyvenimo šukės" ("Kirik Hayatlar")
15:30 "Gyvenimo šukės" ("Kirik Hayatlar")
16:15 "Gyvenimo šukės" ("Kirik Hayatlar")
17:00 "Kaip ilgai aš tavęs laukiau" ("Как долго я тебя ждала")
18:00 "Aš - karalienė" ("La Reina Soy Yo")
18:45 "Aš - karalienė" ("La Reina Soy Yo")
19:30 "Aš - karalienė" ("La Reina Soy Yo")
20:10 "Troliai Mumiai ir žiemos pasaka" ("Muumien taikatalvi")
21:30 "Ledynmetis. Mamuto Kalėdos" ("Ice Age: A Mammoth Christmas")
22:00 "Nemylimi" . Not Specified 2009. 2009 sez 81 s N-7
22:30 "Nemylimi" . Not Specified 2009. 2009 sez 82 s N-7
23:00 "Agentas pagal iškvietimą" ("Опер по вызову")
00:00 "Apuokas" ("Филин"). Ukraina Detektyvas, Komedija 2020. 1 sez 23 s N-14 

2025-01-02 - Ketvirtadienis
06:30 "Skonių sodas" ("Вкусный Сад")
06:45 "Skonių sodas" ("Вкусный Сад")
07:00 "Skonių sodas" ("Вкусный Сад")
07:15 "Skonių sodas" ("Вкусный Сад")
07:30 "Pasikalbėkim" . Lietuva Aktualijos 2024. 24 sez 44 s
08:00 "Stebuklų medžiotojai" ("Охотники за чудесами")
09:00 "Praeitis dar tik laukia" ("Когда прошлое впереди")
10:00 "Kaip ilgai aš tavęs laukiau" ("Как долго я тебя ждала")
11:00 "Itališka meilė" ("Muchacha italiana viene a casarse")
11:45 "Itališka meilė" ("Muchacha italiana viene a casarse")
12:30 "Itališka meilė" ("Muchacha italiana viene a casarse")
13:15 "Itališka meilė" ("Muchacha italiana viene a casarse")
14:00 "Gyvenimo šukės" ("Kirik Hayatlar")
14:45 "Gyvenimo šukės" ("Kirik Hayatlar")
15:30 "Gyvenimo šukės" ("Kirik Hayatlar")
16:15 "Gyvenimo šukės" ("Kirik Hayatlar")
17:00 "Kaip ilgai aš tavęs laukiau" ("Как долго я тебя ждала")
18:00 "Aš - karalienė" ("La Reina Soy Yo")
18:45 "Aš - karalienė" ("La Reina Soy Yo")
19:30 "Aš - karalienė" ("La Reina Soy Yo")
20:10 "Moterys meluoja geriau" ("WOMEN LIE BETTER YR 6 (FA'12)")
20:35 "Moterys meluoja geriau" ("WOMEN LIE BETTER YR 6 (FA'12)")
21:00 "Moterys meluoja geriau" ("WOMEN LIE BETTER YR 6 (FA'12)")
21:30 "Kažkas naujo" ("Kazkas Naujo")
22:00 "Nemylimi" . Not Specified 2009. 2009 sez 83 s N-7
22:30 "Nemylimi" . Not Specified 2009. 2009 sez 84 s N-7
23:00 "Agentas pagal iškvietimą" ("Опер по вызову")
00:00 "Nepaprasta uoslė" ("Нюхач"). Ukraina Veiksmo, Kriminalinis, Drama 2017. 3 sez 3 s N-14 

2025-01-03 - Penktadienis
06:30 "Skonių sodas" ("Вкусный Сад")
