LRT TV
-----
Sausis
-----
2025-01-01 - Trečiadienis
0.00 LRT Naujųjų metų šou. (tęsinys).
0.20 Saulius Prūsaitis. Metų koncertinis SHOW.
1.50 Premjera. Stingas. Gyvai Šambore (Sting. Live At Chambord).
3.30 Koncertuoja „OneRepublic“. „Baloise Session 2022“ („OneRepublic“ in Concert. „Baloise Session 2022“). Koncertas. 2022 m. Rež. Roli Barlocher. Bazelis, Šveicarija.
4.40 Koncertuoja Passenger. „Baloise Session 2023“ (Passenger in concert. Baloise Session 2023). Koncertas. 2023 m. Šveicarija. (subtitruota).
6.00 Lietuvos Respublikos himnas.
6.02 Daiktų istorijos. Istorinė publicistika. Ved. Saulius Pilinkus. (subtitruota, kart.).
7.00 Beatos virtuvė. Kulinarinė gyvenimo būdo programa. Ved. Beata Nicholson. (subtitruota, kart.).
7.55 Stilius. Gyvenimo būdo žurnalas. Ved. Violeta Baublienė. (kart.).
8.50 Nauji karaliaus drabužiai (Des Kaisers neue Kleider). Pasaka. 2010 m. | Rež. Hannu Salonen. Vaid. Matthias Brandt, Sergej Moya, Alissa Jung, Catherine Flemming. Vokietija.
9.50 Princesė ant žirnio (Die Prinzessin auf der Erbse). Pasaka. 2010 m. | Rež. Bodo Fürneisen. Vaid. Rike Kloster, Robert Gwisdek, Iris Berben, Michael Gwisdek. Vokietija.
10.55 Šv. Mišios Pasaulinei taikos dienai. Tiesioginė transliacija iš Vatikano.
12.30 Vienos filharmonijos orkestro 2025-ųjų Naujametis koncertas.
15.00 Monika Liu su LNOBT simfoniniu orkestru. Dirigentas Ričardas Šumila. 2024 m.
16.30 Aidas Giniotis su Žmonėm. Jubiliejinis koncertas.
18.00 Kas ir kodėl? Intelektinė viktorina. Ved. Darius Jurgelevičius.
18.30 Žinios. Sportas. Orai.
19.00 Dviračio žinios. Pramoginė humoro programa. Ved. Milda Noreikaitė.
19.30 Tai kur toliau? Kelionių programa. Ved. Martynas Starkus.
20.30 Panorama.
20.52 Sportas. Orai.
21.00 Daug triukšmo dėl nieko (Much Ado About Nothing). Komedija. 1993 m. | Rež. Kenneth Branagh. Vaid. Richard Briers, Michael Keaton, Robert Sean Leonard, Keanu Reeves, Emma Thompson. Jugtinė Karalystė, JAV.
23.00 Fargo (Fargo). Kriminalinis juodosios komedijos serialas. 2017 m. JAV. N-14. 3/3 s.
23.50 Monika Liu su LNOBT simfoniniu orkestru. Dirigentas Ričardas Šumila. 2024 m.

2025-01-02 - Ketvirtadienis
1.15 Tai kur toliau? Kelionių programa. Ved. Martynas Starkus. (kart.).
2.05 Dviračio žinios. Pramoginė humoro programa. Ved. Milda Noreikaitė. (kart.).
2.30 Kas ir kodėl? Intelektinė viktorina. Ved. Darius Jurgelevičius. (kart.).
2.50 Daug triukšmo dėl nieko (Much Ado About Nothing). Komedija. 1993 m. | Rež. Kenneth Branagh. Vaid. Richard Briers, Michael Keaton, Robert Sean Leonard, Keanu Reeves, Emma Thompson. Jugtinė Karalystė, JAV. (kart.).
4.35 Stilius. Gyvenimo būdo žurnalas. Ved. Violeta Baublienė. (kart.).
5.30 Žinios. Sportas. Orai (kart.).
6.00 Lietuvos Respublikos himnas.
6.02 Labas rytas, Lietuva.
9.00 Leipcigo kriminalinė policija (Soko Leipzig). Detektyvinis serialas. 2011 m. Vokietija. N-7. 12/5 s.
9.50 Pagalbos šauksmas (Notruf Hafenkante). Detektyvinis serialas. 2013 m. Vokietija. N-7. 8/30 s.
10.40 31-oji nuovada (District 31). Detektyvinis serialas. 2016 m. Kanada. N-7. 41, 42 s.
11.30 Paskutinis pėdsakas (Letzte Spur Berlin). Detektyvinis serialas. 2021 m. Vokietija. N-7. 11/5 s.
