URL,Date,Time,Week Name,Day,Custom Minute,Custom Second,Timer,Notification,Status,Title,Description,Open URL in Background
https://web.archive.org/save/https://kis.lt/chanels/pingviniukas/,,15:12,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://lnk.lt/tv-programa#tv1,,15:00,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.init-tv.lt/play.htm,,15:10,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.lrt.lt/mediateka/tiesiogiai/lrt-televizija,,15:11,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://kidzonemax.lt/lt/epg,,15:20,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.tv3.lt/programos/tv3-plus/pilna,,15:20,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://lnk.lt/tv-programa#2tv,,15:21,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.init-tv.lt/init_tv.htm,,15:22,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.init-tv.lt/ekstra.htm,,15:30,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.lrt.lt/programa,,15:30,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.tv3.lt/programos/tv3/pilna/,,15:31,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.balticum.lt/tv-programa-2/,,15:32,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://lnk.lt/tv-programa#infotv,,15:40,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.lrt.lt/mediateka/tiesiogiai/lrt-plius,,15:40,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.tv3.lt/programos/tv6/pilna/,,15:41,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.balticum.lt/tv-programa/,,15:42,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.lrt.lt/mediateka/tiesiogiai/lrt-lituanica,,15:50,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.marijampoles.tv/,,15:50,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.tv3.lt/programos/tv8/pilna,,15:51,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://lnk.lt/tv-programa#lnk,,15:52,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/http://www.sport1.lt/tv-programa,,16:00,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.etaplius.tv/,,16:10,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.cgates.lt/tv-kanalai/tv7/,,16:11,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.lrs.lt/sip/portal.show?p_r=35421&p_k=1,,16:12,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.lietuvosryto.tv/tv-programa,,16:20,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.delfi.lt/puslapis/tv-programa/kanalai/delfitv,,16:20,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.balticum.lt/tv-programa-3/,,16:21,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://www.lrs.lt/sip/portal.show?p_r=35421&p_k=1&printVersion=1,,16:22,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://lnk.lt/tv-programa#btv,,16:30,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://jptv.lt/programa/,,16:30,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://muge.eu/lrt/,,16:31,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://muge.eu/lrt-plius-programa-vasario-12-18-d/,,16:32,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://muge.eu/lnk/,,16:40,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://muge.eu/btv/,,16:40,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://muge.eu/info-tv-vasario-12-18-d/,,16:41,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://muge.eu/tv1/,,16:42,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://muge.eu/tv3/,,16:50,"",NaN,1,5,Every Day,Active,Active,,,No
https://web.archive.org/save/https://muge.eu/tv6/,,16:50,"",NaN,1,5,Every Day,Active,Active,,,No
