2003-01-01

2003-12-28 - Sekmadienis
08:00 Šventadienio mintys.
08:30 Triušių kalvos istorijos Animacinis serialas vaikams.
09:00 Rintintino nuotykiai („The Adventures of Rin Tin Tin”). Serialas. JAV.
09:30 Mažųjų žvaigždžių valanda. Šventinis koncertas. I dalis. Vedėjas A. Bialobžeskis.
10:30 Kalėdos su "Tele bim-bam". Vedėja Neringa Čereškevičienė.
11:30 Trembita.
11:40 Labas.
11:50 Menora.
12:00 Kulinarinės kelionės. Vedėja Loreta Sungailienė.
12:30 Ievos pievos.
13:05 Kelionės. Kelionių laida.
13:40 Gimę žudyti („Natural Born Killers”). Dokumentinis serialas.
14:35 Motala. Dramblio istorija. Dokumentinis filmas.
15:05 Anapus Bermudų trikampio. Dokumentinis filmas.
16:00 Žinios.
16:10 Džeikas, Storulis ir šuo („Jake and the Fatman”).  Serialas. JAV. 14 s.
17:05 Keliai. Mašinos. Žmonės.
17:35 Popietė su Algimantu Čekuoliu.
18:05 Stilius. Vedėja Violeta Baublienė.
18:55 Bėdų turgus. Pokalbių šou. Vedėja Edita Mildažytė.
19:45 Savaitė. Analitinė laida. Vedėja Rita Miliūtė.
20:30 Panorama.
20:45 Sportas.
20:48 Orai.
21:00 MTV Europos muzikos apdovanojimai-2003. 
Dalyvauja Christina Aguilera, Beyonce Knowles, Sean Paul, Pink, Justin Timerlake, Dido, Kylie Minogue, Missy Elliott, Travis, Coldplay ir kiti.
23:00 Laiko ženklai (kart.).
