2002-01-01 – Antradienis

2002-04-02 - Trečiadienis [LRT]
06:00 Labas rytas 6.30, 7.00, 7.30 - Žinios. Sportas. Oras.
08:00 Tvyniai Anglų serialas vaikams (kart.)
08:25 Senoji animacija (kart.)
08:50 Vaikų klubas  (kart.)
09:20 Sveika, brangioji!  (kart.)
10:05 Likimo valsas Lietuviškas serialas - 124s. (kart.)
10:30 Gyvybės magija (kart.)
11:00 Menų faktūra Kultūros žurnalas (kart.)
12:00 SMS interviu (kart.)
12:15 Teismas Pokalbių šou (kart.)
12:40 Klausimėlis (kart.)
12:50 Žiedų lietus  Vestuvių fiesta (kart.)
13:45 Dokumentika apie gyvūnija „Mėnulio kalnų gyventojai”. Prancūzų serialas - 1s. „Paskutiniosios gorilos”(kart.)
14:40 Kalnietis Prancūzų animacinis serialas vaikams (kart.)
15:10 Telebimbam (kart.)
15:40 Džiazas Koncertuoja „Willem Breuker Kollektief” (kart.)
16:30 Klanas („Klan”)  Lenkų serialas - 123s.
17:00 Žinios rusų kalba 
17:15 Tvyniai Anglų serialas vaikams
17:40 Sveika, brangioji!  
18:30 Žinios  
18:50 SMS interviu 
19:05 Likimo valsas Lietuviškas serialas - 125s.
19:30 Pagalbos telefonas 112 
20:00 Teismas Pokalbių šou
20:25 Loterija „Perlas” 
20:30 Panorama  
20:50 Verslas 
20:55 Sportas 
20:58 Oras 
21:00 Spaudos klubas  Tiesioginė transliacija
21:59 Loterija „Perlas” 
22:00 Eurovizija 2002 
22:05 Antanas Vienuolis. Pėdsakai kalnuose  Rež. R.Poškaitis, 1982m.
22:15 Antanas Vienuolis Studijos „A Propos” dokumentinis filmas. Rež. A.Liorančas, 1998m.
23:00 Vakaro žinios  
23:15 Viltis gyventi  (kart.)
