1995-01-01 - Sekmadienis
7.15 Sportloto.
7.30 Baliuje pas Pelenę.
8.30 Iš ryto. Ankstėliau.
9.00 Breinringas.
9.35 Kol visi namuose.
10.05 Rytinė žvaigždė.
10.55 Naujametinis susitikimas Rostovų namuose.
11.45 Mano paskutinis tango.
12.40 "Špargalka".
12.50 Liūtai ir hienos - amžini varžovai.
13.52 Naujienos.
14.00 „Aš esu klounas“. 1 s.
15.20 Keliautojų klubas.
16.10 Muzika.
16.15 Anonsai.
16.20 TV parduotuvė.
16.35 Kas? Kur? Kada?
18.00 Miss Kaunas-94.
19.00 F. „Beverli Hills, 90210“.
19.50 Anonsai.
19.55 Miss Kaunas-94. 2 s.
20.55 Horoskopas savaitei.
21.00 „Žmogžudysčių skyrius“.
21.55 Tangomanija.
22.15 „Persekiojimas..“

1995-01-02 - Pirmadienis

1995-01-03 - Antradienis
7.00 Ryto ratas.
9.00 TV parduotuvė.
9.15 Anonsai.
13.10 Naujienos.
13.20 Vaidybinis filmas „Aš esu klounas“, 3 serija.
14.40 Animacinis filmas.
15.40 Platesnį ratą.
17.10 Apie orus.
17.20 Tuo laiku prieš 50 metų.
17.45 Vaidybinis filmas.
19.40 TV parduotuvė.
19.55 Reklama.
20.00 Laikas.
20.30 Apie orus.
20.35 Anonsai.
20.40 Ralis „Paryžius-Granada-Dakaras“.
21.05 Vaidybinis filmas „Prarasta siela“.
22.57 Naujienos.
23.10 Zodiako ženklai. Svarstyklės.
23.52 Naujienos.
00.00 Zodiako ženklai. Svarstyklės. Tęsinys.

1995-01-04 - Trečiadienis
7.00 Ryto ratas.
9.00 TV parduotuvė.
9.15 Anonsai.
14.52 Naujienos.
15.00 Pažiūrėk, paklausyk...
15.20 Animaciniai filmai.
15.52 Naujienos.
16.00 Tin-Tonik.
16.20 Prancūzų serialas „Elen ir vaikinai“.
16.50 Programa.
16.52 Pasaulis šiandien.
17.00 Eteryje tarpvalstybinė TVR kompanija „Mir“.
17.40 Apie orus.
17.45 Kas yra kas. XX amžiaus Motina Teresė.
17.52 Naujienos.
18.00 Piko valanda.
18.25 TV serialas „Laukinė Rožė“.
18.55 Kino žvaigždė M.Bojarskis.
19.40 TV parduotuvė.
19.55 Reklama.
20.00 Laikas.
20.30 Apie orus.
20.35 Anonsai.
20.40 Monologas.
20.50 Ralis „Paryžius-Granada-Dakaras“.
21.10 Vaidybinio filmo „Imperatoriaus romanas“ 1 serija.
22.52 Naujienos.
23.00 Vaidybinio filmo „Imperatoriaus romanas“ tęsinys.
23.20 Šokiai, šokiai, šokiai...
23.52 Spaudos ekspresas.

1995-01-05 - Ketvirtadienis
7.00 Ryto ratas.
9.00 TV parduotuvė.
9.15 TV serialo „Laukinė Rožė“ kartojimas.
9.40 Anonsai.
14.52 Naujienos.
15.00 Multirolija.
15.30 Baliuje pas Pelenę.
15.52 Naujienos.
16.00 Kompiuteris.
16.20 Prancūzų serialas „Elen ir vaikinai“.
16.50 Programa.
16.52 Pasaulis šiandien.
17.00 ...iki 16-os ir vyresniems.
17.35 Apie orus.
17.40 Kas yra kas.
17.48 Naujienos.
17.55 Europos klubų krepšinio čempionatas. Maskvos „CSKA“ (Rusija) - Liublianos „Olimpija“ (Slovėnija).
19.40 Labanakt, vaikučiai.
19.55 Reklama.
20.00 Naujienos.
20.30 Apie orus.
20.35 „Flinstounai“: „Mano urvas – mano tvirtovė“.
21.05 TV parduotuvė.
21.20 Muzikinė laida „Viskas!”
21.40 Vaidybinio filmo „Imperatoriaus romanas“ 3 ir 4 serijos.
22.52 Naujienos.
23.00 Vaidybinio filmo „Imperatoriaus romanas“ tęsinys.
23.25 Spaudos ekspresas.
24.00 Autošou.

1995-01-06 - Penktadienis
7.00 Ryto ratas.
9.00 TV parduotuvė.
9.15 Anonsai.
14.52 Naujienos.
15.00 Vaidybinis filmas vaikams „Mažasis keršytojas“.
16.20 Rusijos daliojo čiuožimo čempionatas. Porinis čiuožimas. Laisvoji programa.
16.50 Programa.
16.52 Pasaulis šiandien.
17.00 Muzika. Anonsai.
17.15 TV parduotuvė.
17.30 Karaoke ir kiti.
18.00 Tangomanija.
18.20 Anonsai.
18.30 LKL čempionatas. „Statyba“ (Vilnius) – „Atletas“ (Kaunas).
20.10 Kibir tele vibir.
20.30 Laikas.
21.00 Serialas „Beverli Hilsas, 90210“. 9 serija.
21.50 02 kronika.
22.10 Videokaukas.

1995-01-07 - Šeštadienis
9.00 Ryto ratas.
11.00 Lietloto.
11.05 Anonsai.
11.10 „Džiaukitės“. Videofilmas apie ikonų meno kūrėjų Osipenkų šeimą.
12.00 Rusijos premijos „Triumf“ įteikimas už 1994 m. literatūros ir meno pasiekimus.
12.50 Iškilminga transliacija Kristaus cerkvės statybos Maskvoje pradžiai.
13.52 Naujienos.
14.00 Dailusis čiuožimas, Vyrų laisvoji programa.
14.45 „Rusijos didybė ir grožis“. 2 filmas.
15.15 Gyvūnijos pasaulyje.
15.55 Anonsai.
16.00 LKL čempionato rungtynės. „Atletas“ (Kaunas) – „Lavera“ (Kaunas).
17.40 TV parduotuvė.
17.55 TV serialas „Laukinė Rožė“.
18.25 Chart Show.
19.15 Keturi ratai.
19.35 Kibir tele vibir.
19.55 Reklama.
20.00 Laikas.
20.35 Apie orus.
20.40 Amerikiečių policinis serialas „Žmogžudysčių skyrius“.
21.30 „Vieną kartą...“ Humoro laida.
22.00 Naujametinis vakaras Lapėse.

1995-01-08 - Sekmadienis
7.15 Olimpinis rytas.
7.50 Sportloto.
8.00 Maratonas 15.
8.30 Iš ryto, ankstėliau.
9.00 Poligonas.
9.30 Kol visi namuose.
10.00 Rytinis paštas.
10.50 Su ženklu ,,Pi''.
11.35 Amerika su M.Taratuta.
12.10 Ekonomika ir reformos.
12.40 „Špargalka“.
12.55 TV parduotuvė.
13.10 TV festivalis „Daina-94“.
14.55 Keliautojų klubas.
15.55 Dailusis čiuožimas. Parodomoji programa.
17.00 TV festivalis „Daina-94“ (tęsinys).
18.35 Kaukodromas (kartojama 1994-12-31 laida).
19.10 Vienam gale kablys.
19.30 Salonas dviem.
19.50 „Flinstounai“.
20.45 Serialas „Beverli Hilsas, 90210“. 10 serija.
21.00 Horoskopas savaitei.
21.05 „Taip. Ne.“ TV žaidimas.
22.15 Dviračio šou.
22.35 Tangomanija.
23.00 Sekmadienis.

1995-01-09 - Pirmadienis
Iki 16.00 valandos Techninė siųstuvų profilaktika.
16.05 Jeigu...
16.50 Tuo laiku prieš 50 metų.
17.05 Apie orus.
17.15 Piko valanda.
17.45 Vaidybinis f. „Žaisliukas“.
19.40 Muzika.
19.45 Teleparduotuvė.
19.50 Anonsai.
19.55 Reklama.
20.00 Laikas.
20.30 Apie orus.
20.35 Anonsai.
20.40 Ralis „Paryžius-Granada-Dakaras“.
20.55 Auksinis Avinas.
21.45 Įvartis.
22.20 Humoro antologija.
22.52 Naujienos.
23.05 Pramoginė programa.
23.52 Naujienos.
24.00 Pramoginės programos tęsinys.

1995-01-10 - Antradienis
7.00 Ryto ratas.
9.00 TV parduotuvė.
9.05 Anonsai.
14.52 Naujienos.
15.00 Linksmosios gaidelės.
15.30 Tarp mūsų šnekant...
15.52 Naujienos.
16.00 Džemas.
16.20 Prancūzų serialas „Elen ir vaikinai“.
16.52 Pasaulis šiandien.
17.00 Vedi.
17.30 Mįslė.
17.40 Dokumentai ir likimai.
17.45 Apie orus.
17.52 Naujienos.
18.00 Piko valanda.
18.30 Serialas „Laukinė rožė“.
18.55 Tema.
19.40 Muzika.
19.45 TV parduotuvė.
19.50 Anonsai.
20.00 Laikas.
20.30 Apie orus.
20.35 Anonsai.
20.40 Ralis „Paryžius-Granada-Dakaras“.
21.10 Vaidybinis filmas „Iš vaikystės“.
22.52 Naujienos.
23.05 Iliuzijų kanalas.
23.52 Spaudos ekspresas.

1995-01-11 - Trečiadienis
7.00 Ryto ratas.
9.00 TV parduotuvė.
9.05 Serialas „Laukinė rožė“.
9.30 Anonsai.
14.52 Naujienos.
15.00 Pažiūrėk, paklausyk...
15.20 Atsakymai.
15.52 Naujienos.
16.00 Tintonika.
16.20 Prancūzų serialas „Elen ir vaikinai“.
16.52 Pasaulis šiandien.
17.00 „Mir“.
17.40 Dokumentai ir likimai.
17.45 Kas yra kas. XX a.
17.52 Naujienos.
18.00 Piko valanda.
18.30 Serialas „Laukinė rožė“.
18.55 Valanda kaimui.
19.40 Muzika.
19.45 TV parduotuvė.
19.50 Anonsai.
20.00 Laikas.
20.30 Apie orus.
20.40 Monologas.
20.50 Ralis „Paryžius-Granada-Dakaras“.
21.05 Vaidybinis filmas „Prie mano stalo angelas“.
22.52 Naujienos.
23.05 Vaidybinio filmo „Prie mano stalo angelas“ tęsinys.
23.52 Spaudos ekspresas.
24.00 Vaidybinio filmo „Prie mano stalo angelas“ tęsinys.
0.30 Dainuoju Jums.
0.52 Naujienos.

1995-01-12 - Ketvirtadienis
7.00 Ryto ratas.
9.00 TV parduotuvė.
9.05 Serialas „Laukinė rožė“.
9.30 Anonsai.
14.52 Naujienos.
15.00 Multitrolija.
15.30 Baliuje pas Pelenę.
15.52 Naujienos.
16.00 Tintonika.
16.20 Prancūzų serialas „Elen ir vaikinai“.
16.52 Pasaulis šiandien.
17.00 ...iki 16-likos ir vyresniems.
17.40 Apie orus.
17.45 Kas yra kas. XX a.
17.52 Naujienos.
18.00 Piko valanda.
18.30 Serialas „Laukinė rožė“.
18.55 Anonsai.
19.00 TV parduotuvė.
19.05 Dviračio šou. Humoro laida.
19.25 „Flinstounai“.
20.00 Laikas.
20.30 Apie orus.
20.40 Maskva. Kremlius.
21.00 Loterija „Milijonas“.
21.30 Ralis „Paryžius-Granada-Dakaras“.
21.40 Vaidybinis filmas „Gerasis karalius Dagoberis“.
22.52 Naujienos.
23.05 Vaidybinio filmo „Gerasis karalius Dagoberis“ tęsinys.
23.52 Spaudos ekspresas.
24.00 Koncertas.
0.40 Autošou.

1995-01-13 - Penktadienis
7.00 Ryto ratas.
9.00 TV parduotuvė.
9.05 „Laukinė rožė“.
9.30 Anonsai.
14.52 Naujienos.
15.00 Laida vaikams.
15.52 Naujienos.
