duo Star
-----
Rugpjūtis
-----
2026-08-10 - Pirmadienis
06:50 Kelionė į Ameriką 2. Komedija. JAV, 2021
08:35 Palikti Aliaskoje. Kriminalinis, drama, mistinis. JAV, 2013
10:20 Kodas "7500". Veiksmo, drama, trileris. Vokietija, 2019
11:50 Kelionė į Ameriką 2. Komedija. JAV, 2021
13:35 Palikti Aliaskoje. Kriminalinis, drama, mistinis. JAV, 2013
15:15 Kodas "7500". Veiksmo, drama, trileris. Vokietija, 2019
16:45 Kelionė į Ameriką 2. Komedija. JAV, 2021
18:30 Mano pakvaišęs senis. Komedija. JAV, 2023
20:00 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012
21:35 Substancija. Siaubo, fantastinis, drama. Prancūzija, 2024
23:55 Mano pakvaišęs senis. Komedija. JAV, 2023

2026-08-16 - Sekmadienis
01:20 Duo Mix
07:40 Mano pakvaišęs senis. Komedija. JAV, 2023
09:10 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012
10:45 Substancija. Siaubo, fantastinis, drama. Prancūzija, 2024
13:05 Mano pakvaišęs senis. Komedija. JAV, 2023
14:30 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012
16:10 Substancija. Siaubo, fantastinis, drama. Prancūzija, 2024
18:25 Nuostabi dabartis. Komedija, drama, melodrama. JAV, 2013
20:00 Džokeris. Trileris, kriminalinis, drama. JAV, 2019
21:55 Londonas kviečia. Drama, veiksmo, komedija. JAV, 2025
23:50 Nuostabi dabartis. Komedija, drama, melodrama. JAV, 2013

2026-08-17 - Pirmadienis
01:20 Džokeris. Trileris, kriminalinis, drama. JAV, 2019
03:15 Duo Mix
05:00 Lėta televizija: Rūkas. Estija, 2020
05:35 Ką rodo "Filmzone"?
07:05 Londonas kviečia. Drama, veiksmo, komedija. JAV, 2025
07:25 Džokeris. Trileris, kriminalinis, drama. JAV, 2019
09:25 Londonas kviečia. Drama, veiksmo, komedija. JAV, 2025
11:15 A komanda: A Small and Deadly War (S1 E5). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:05 Nuostabi dabartis. Komedija, drama, melodrama. JAV, 2013
13:35 Džokeris. Trileris, kriminalinis, drama. JAV, 2019
15:35 A komanda: Black Day at Bad Rock (S1 E6). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:20 Londonas kviečia. Drama, veiksmo, komedija. JAV, 2025
18:15 Gili erdvė. Nuotykių, drama, trileris. Anglija, 2021
20:05 Oušeno vienuoliktukas. Kriminalinis, komedija, veiksmo. JAV, 2001
22:00 Spartakas. Kraujas ir smėlis: Delicate Things (S1 E6). Veiksmo, nuotykių, drama. JAV, 2010
22:50 Prarasta kontrolė. Veiksmo, drama, trileris. JAV, 2011

2026-08-18 - Antradienis
02:15 Oušeno vienuoliktukas. Kriminalinis, komedija, veiksmo. JAV, 2001
04:10 Spartakas. Kraujas ir smėlis: Delicate Things (S1 E6). Veiksmo, nuotykių, drama. JAV, 2010
05:00 Duo Mix
08:10 Oušeno vienuoliktukas. Kriminalinis, komedija, veiksmo. JAV, 2001
10:05 Prarasta kontrolė. Veiksmo, drama, trileris. JAV, 2011
11:35 A komanda: Black Day at Bad Rock (S1 E6). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:25 Gili erdvė. Nuotykių, drama, trileris. Anglija, 2021
14:15 Oušeno vienuoliktukas. Kriminalinis, komedija, veiksmo. JAV, 2001
16:10 A komanda: The Rabbit Who Ate Las Vegas (S1 E7). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:55 Prarasta kontrolė. Veiksmo, drama, trileris. JAV, 2011
18:25 Kodas "7500". Veiksmo, drama, trileris. Vokietija, 2019
20:00 Oušeno dvyliktukas. Trileris, kriminalinis, komedija. JAV, 2004
22:00 Spartakas. Kraujas ir smėlis: Great and Unfortunate Things (S1 E7). Veiksmo, nuotykių, drama. JAV, 2010
22:50 Non-stop. Veiksmo, mistinis, trileris. Anglija, 2014

2026-08-19 - Trečiadienis
02:05 Oušeno dvyliktukas. Trileris, kriminalinis, komedija. JAV, 2004
04:05 Spartakas. Kraujas ir smėlis: Great and Unfortunate Things (S1 E7). Veiksmo, nuotykių, drama. JAV, 2010
04:55 Duo Mix
07:40 Oušeno dvyliktukas. Trileris, kriminalinis, komedija. JAV, 2004
09:40 Non-stop. Veiksmo, mistinis, trileris. Anglija, 2014
11:25 A komanda: The Rabbit Who Ate Las Vegas (S1 E7). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:15 Kodas "7500". Veiksmo, drama, trileris. Vokietija, 2019
13:45 Oušeno dvyliktukas. Trileris, kriminalinis, komedija. JAV, 2004
15:45 A komanda: The Out-of-Towners (S1 E8). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:35 Non-stop. Veiksmo, mistinis, trileris. Anglija, 2014
18:15 Taiklus šaulys. Trileris, veiksmo, drama. JAV, 2021
20:00 Oušeno tryliktukas. Kriminalinis, komedija, trileris. JAV, 2007
22:00 Spartakas. Kraujas ir smėlis: Mark of the Brotherhood (S1 E8). Veiksmo, nuotykių, drama. JAV, 2010
22:50 Kol nenuėjau miegoti. Trileris, drama, siaubo. Anglija, 2014

2026-08-20 - Ketvirtadienis
02:05 Oušeno tryliktukas. Kriminalinis, komedija, trileris. JAV, 2007
04:00 Spartakas. Kraujas ir smėlis: Mark of the Brotherhood (S1 E8). Veiksmo, nuotykių, drama. JAV, 2010
04:50 Duo Mix
08:10 Oušeno tryliktukas. Kriminalinis, komedija, trileris. JAV, 2007
10:10 Kol nenuėjau miegoti. Trileris, drama, siaubo. Anglija, 2014
11:35 A komanda: The Out-of-Towners (S1 E8). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:25 Taiklus šaulys. Trileris, veiksmo, drama. JAV, 2021
14:10 Oušeno tryliktukas. Kriminalinis, komedija, trileris. JAV, 2007
16:10 A komanda: Holiday in the Hills (S1 E9). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:55 Kol nenuėjau miegoti. Trileris, drama, siaubo. Anglija, 2014
18:25 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012
20:05 1917. Veiksmo, drama, karinis. Anglija, 2019
22:00 Spartakas. Kraujas ir smėlis: Whore (S1 E9). Veiksmo, nuotykių, drama. JAV, 2010
22:50 Tenet. Veiksmo, trileris, nuotykių. JAV, 2020

2026-08-21 - Penktadienis
01:15 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012
02:50 1917. Veiksmo, drama, karinis. Anglija, 2019
04:45 Spartakas. Kraujas ir smėlis: Whore (S1 E9). Veiksmo, nuotykių, drama. JAV, 2010
05:35 Duo Mix
06:35 1917. Veiksmo, drama, karinis. Anglija, 2019
08:30 Tenet. Veiksmo, trileris, nuotykių. JAV, 2020
10:55 A komanda: Holiday in the Hills (S1 E9). Veiksmo, nuotykių, kriminalinis. JAV, 1983
11:45 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012
13:25 1917. Veiksmo, drama, karinis. Anglija, 2019
15:20 A komanda: West Coast Turnaround (S1 E10). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:05 Tenet. Veiksmo, trileris, nuotykių. JAV, 2020
18:30 Amerikietis žudikas. Veiksmo, trileris. JAV, 2017
20:20 Mačetė. Veiksmo, kriminalinis, trileris. JAV, 2010
22:00 Spartakas. Kraujas ir smėlis: Party Favors (S1 E10). Veiksmo, nuotykių, drama. JAV, 2010
22:50 Ką mes veikiame šešėliuose. Siaubo, komedija. Naujoji Zelandija, 2014

2026-08-22 - Šeštadienis
02:00 Spartakas. Kraujas ir smėlis: Party Favors (S1 E10). Veiksmo, nuotykių, drama. JAV, 2010
02:50 Duo Mix
08:45 Amerikietis žudikas. Veiksmo, trileris. JAV, 2017
10:35 Mačetė. Veiksmo, kriminalinis, trileris. JAV, 2010
12:15 Ką mes veikiame šešėliuose. Siaubo, komedija. Naujoji Zelandija, 2014
13:40 Amerikietis žudikas. Veiksmo, trileris. JAV, 2017
15:25 Mačetė. Veiksmo, kriminalinis, trileris. JAV, 2010
17:05 Ką mes veikiame šešėliuose. Siaubo, komedija. Naujoji Zelandija, 2014
18:30 Gimtadienis. Komedija. JAV, 2013
20:00 Mano šuo Artūras. Nuotykių, drama. JAV, 2024
21:45 Noriu tave susigrąžinti. Melodrama, komedija. JAV, 2022
23:40 Gimtadienis. Komedija. JAV, 2013

2026-08-23 - Sekmadienis
01:10 Mano šuo Artūras. Nuotykių, drama. JAV, 2024
03:00 Duo Mix
07:20 Gimtadienis. Komedija. JAV, 2013
08:50 Mano šuo Artūras. Nuotykių, drama. JAV, 2024
10:35 Noriu tave susigrąžinti. Melodrama, komedija. JAV, 2022
12:30 Gimtadienis. Komedija. JAV, 2013
14:00 Mano šuo Artūras. Nuotykių, drama. JAV, 2024
15:50 Noriu tave susigrąžinti. Melodrama, komedija. JAV, 2022
17:40 Pabėgimas iš Šoušenko. Drama. JAV, 1994
20:00 Gucci mados namai. Drama, biografinis, kriminalinis. JAV, 2021
22:30 Haris Braunas. Veiksmo, trileris, kriminalinis. Anglija, 2009

2026-08-24 - Pirmadienis
