-----
Sausis
-----
2007-01-01 - Pirmadienis

2007-01-02 - Antradienis

2007-01-03 - Trečiadienis

2007-01-04 - Ketvirtadienis
17.55	"Lioko kodas" (1) (Code Lyoko). 2004 m. Prancūzija. - Animacinis serialas
18.20	"Pučinis" (20) (Poochini). 2000 m. JAV. Rež.: Dave Marshall, Dave Thomas. - Animacinis serialas
18.30	"Nekviesta meilė" (5) (k). 2006 m. Lietuva. Rež.: Alvydas Šlepikas. Vaid.: Inga Jankauskaitė, Adolfas Večerskis, Rimantė Valiukaitė, Saulius Balandis. - Serialas
19.00	"San Francisko raganos III" (52) (Charmed III). 2001 m. JAV. Rež.: John Behringer. Vaid.: Shannen Doherty, Holly Marie Combs, Alyssa Milano. N7 - Serialas
20.00	"Arktinė kelionė. Ant plonyčio ledo" (Arctic Voyage: On Thin Ice). 2004 m. JAV. - Dokumentinis filmas
21.00	"Brolis" (Brother). 2000 m. Japonija,Didžioji Britanija,JAV. Rež.: Takeshi Kitano. Vaid.: Takeshi Kitano, Omar Epps, Kuroudo Maki. N14 - Kriminalinė drama
23.00	DUŠO KINAS "Meistras ir Margarita". Rež.: Kristina Žičkutė. VSDK
23.05	DUŠAS. Muzikinė pramoginė pokalbių laida. Tiesioginė transliacija iš TV1 studijos. Vedėjai Uršula, Varinė, Žvyras ir Nuodas. N14

2007-01-10 - Trečiadienis

2007-01-11 - Ketvirtadienis

2007-01-12 - Penktadienis

2007-01-13 - Šeštadienis

2007-01-14 - Sekmadienis
08.25	Dienos programa.
08.30	"Seni bambekliai 2" (k) (Grumpier Old Men). 1995 m. JAV. Rež.: Howard Deutch. Vaid.: Jack Lemmon, Ann Margret , Walter Matthau, Sophia Loren. N7 - Romantinė komedija
10.20	"Urvinis Fredas" (3) (Fred the Caveman). 2002 m. Prancūzija. - Animacinis serialas
10.30	"Šaunusis Rupertas" (4) (Super Rupert). 2001 m. Kanada. - Nuotykių serialas
11.00	"Keistuoliai. Tikėti ar netikėti" (44) (k) (Ripley's Believe It or Not). 2000 m. JAV. - Realybės dokumentika
12.00	"Mano svajonių Džinė" (92) (I Dream of Jeanny). 1965 m. JAV. Rež.: Sidney Sheldon . Vaid.: Larry Hagman, Barbara Eden. - Humoro serialas
