-----
Sausis
-----
2008-01-01 - Antradienis

2008-01-02 - Trečiadienis
08.25	Dienos programa.
08.30	RETROSPEKTYVA "Kino režisierius Gytis Lukšas" (k). Autoriai Juozas Matonis ir Vytautas Damaševičius. Ciklas "Menininkų portretai". 2006 m.
09.00	Super Duper Sumo (2) (k) (Super Duper Sumos). 2003 m. Kanada, Pietų Korėja, JAV. - Animacinis serialas
09.25	Kiauliamiestis (1) (k) (Pig City). 2002 m. Kanada. - Animacinis serialas
09.50	Merė Keitė ir Ešlė skuba į pagalbą (13) (k) (Mary-Kate and Ashley: in Action!). 2001 m. JAV. - Animacinis serialas
10.15	Godzila (3) (k) (Godzilla: the Series). 1998 m. JAV. Rež.: Natham Chew, David Hartman. - Animacinis serialas
10.40	Ir vėl Endis... (1) (What's With Andy). 2003 m. Kanada. Rež.: Richard Paré. - Animacinis serialas
11.05	Raganaitė Sabrina (10) (Sabrina the Animated Series). 2001 m. JAV. Rež.: David Teague, Scott Heming. - Animacinis serialas
11.30	Seserys (6) (k) (Related). 2005 m. JAV. Vaid.: Jennifer Esposito, Kiele Sanchez, Lizzy Caplan, Laura Breckenridge - Serialas
12.25	Tokijo šunys (k) (Tokyo Dogs). 2005 m. Japonija. Rež.: Antoine Lassaigne. - Dokumentinis filmas
13.25	Giminės - ne giminės (k) (Relative Strangers). 2006 m. JAV. Rež.: Greg Glienna. Vaid.: Danny De Vito, Kathy Bates, Ron Livingston. N7 - Komedija
15.05	Pučinis (60, 61) (Poochini). 2000 m. JAV. Rež.: Dave Marshall, Dave Thomas. - Animacinis serialas
15.20	Maištingas amžius (148) (Rebelde Way 2). 2002 m. Argentina. Rež.: Martin Mariani, Cris Morena. Vaid.: Jazmin Becar Varela, Camila Bordonaba, Felipe Colombo. - Telenovelė
16.25	Super Duper Sumo (3) (Super Duper Sumos). 2003 m. Kanada, Pietų Korėja, JAV. - Animacinis serialas
16.50	Kiauliamiestis (2) (Pig City). 2002 m. Kanada. - Animacinis serialas
17.15	Ir vėl Endis... (1) (What's With Andy). 2003 m. Kanada. Rež.: Richard Paré. - Animacinis serialas
17.40	Raganaitė Sabrina (10) (k) (Sabrina the Animated Series). 2001 m. JAV. Rež.: Lorraine Collet - Animacinis serialas
18.00	Svečiuose pas gyvūnus (34) (Into the Wild). JAV. - Dokumentinis serialas
18.58	Žodis - ne žvirblis.
19.00	Šeštasis pojūtis (57) (Profiler II-IV). 1996 m. JAV. Vaid.: Julian McMahon, Robert Davi, Roma Maffia. N7 - Serialas
20.00	Svetimas gyvenimas (63) (Vidas Prestadas). 2000 m. Peru. Rež.: Luis Barrios, Aldo Salvini. Vaid.: Grecia Colmenares, Luis José Santander, Sonia Oquendo. - Telenovelė
21.00	Įkliuvėliai (Stranded). 1986 m. JAV. Rež.: Rod Daniel. Vaid.: Loni Anderson, Perry King, Elaine Stritch. - Komedija
23.00	Talentingasis misteris Riplis (k) (Talented Mr.Ripley, The). 1999 m. JAV. Rež.: Anthony Minghella. Vaid.: Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett. N7 - Kriminalinė drama

2008-01-03 - Ketvirtadienis

2008-01-04 - Penktadienis

2008-01-05 - Šeštadienis
08.15	Nauja programa.
08.20	RETROSPEKTYVA "Kino operatorius Algimantas Mikutėnas". Autoriai Juozas Matonis ir Vytautas Damaševičius. Ciklas "Menininkų portretai". 2006 m.
09.00	Žudymo instinktas (37) (k) (Killer Instinct). 2001 m. JAV.
Dokumentinis serialas
10.00	Svečiuose pas gyvūnus (34) (k) (Into the Wild). JAV.
Dokumentinis serialas
11.00	Rekordų laužytojai (8) (Record Breakers). Australija. Rež.: Nick Hopkin.
Realybės dokumentika
11.30	Blogiau nebūna (8) (k) (Worst Case Scenarios). 2002 m. JAV. Rež.: Adam Briles, James Flint. Vaid.: Mike Rowe, Danielle Burgio, Tyler Vogt.
Serialas
12.35	Labai slaptos agentės (67) (Totally Spies II). 2003 m. JAV, Prancūzija.
Animacinis serialas
13.00	Merė Keitė ir Ešlė skuba į pagalbą (15) (Mary-Kate and Ashley: in Action!). 2001 m. JAV.
Animacinis serialas
